frequency_hz,voltage_v,velocity_m_s,turns,inner_radius_m,pitch_m,channel_width_m,outlet_split_ratio,predicted_score
4719056.510861075,20.34992739610805,0.003514547975780078,2.789602686200737,0.0009729924104636382,0.00024406739052990875,0.00022180589600679103,0.738987578383913,0.4193203551805441
4814692.968777733,6.494180850034866,0.007363796827128384,1.8793838633762612,0.0009354688944809772,0.00019421240628143322,0.00017940418641602685,0.6147057065557853,0.4190763018600664
2803243.906828111,7.771329057075991,0.0018678241757437077,2.095935194776784,0.0007735079509464006,8.56485479939672e-05,0.00021153260998706578,0.4929161635926046,0.4189997077715567
4840911.043711293,5.525630349930246,0.005597060980413665,2.1391607133307486,0.0005768964720686787,0.0002512085817549344,0.00016465360796713755,0.30904688383072226,0.4188542811823569
3099576.592866253,6.572281773770177,0.006463610340145408,1.607786047801988,0.0020026708317360093,0.00016803083704339245,0.00016931209248057414,0.7444259709984079,0.4182656932406238
3704780.5718643214,14.633161142037174,0.005200607739203377,2.363053322162127,0.0009661661991783775,0.00023968934446355725,0.00020639730014076216,0.5922331954294986,0.4179112437942794
3232532.6906271474,3.704919911118121,0.005819921608144837,2.218976334192111,0.0005607440980116735,0.00012386706752319618,0.00010187519243902254,0.47750450464625177,0.4174767711031048
4833451.542609684,2.7818433557960627,0.007385313651301654,1.9841905795785018,0.0013143130217345203,0.0003029944623339409,0.00010421508182363576,0.4956534973792331,0.41701678177040014
3550897.3356323475,2.0703610511359933,0.005249771441120382,2.496075630843422,0.0015293606612162346,0.00015210799628310334,0.0002035038761202393,0.5824549993733792,0.4169673399286499
1851381.8424842916,3.3261709591721482,0.006152618718241027,1.7092407865185533,0.0008857766238329789,0.00012475326368022716,0.00012398827002852418,0.39246880216505986,0.41677618920978565
1841369.0367558086,18.942565206286634,0.005936872027575048,1.5075041918135272,0.0011485875524327566,9.211424773761178e-05,0.0001959742249971711,0.5026431536127587,0.4166432014912164
4285451.650798014,5.80203083446481,0.006590402611314379,2.466639473923352,0.0006624578210580519,0.000278407366985752,0.00021628141585007906,0.27915241646453703,0.41658955210440823
2810403.054521164,6.4151312375351095,0.006789718184151281,1.9843773742089086,0.001163765198874832,0.00016768265285172423,0.0002190089456810463,0.47303569731026796,0.4163217641219868
4757158.5606501205,4.3277483099336855,0.0037739745895926245,2.0934644557475055,0.0004903897021050963,0.00026505710205685474,0.00016871239599171322,0.35101106339116267,0.41630645040723485
4956704.479308689,6.660430434528863,0.0026311192099103126,1.7744960849767617,0.0010201404120194644,0.0001313342529830928,0.00017318590312185992,0.4229087382173285,0.41619489968257595
2592912.586294057,10.483116287392848,0.007775510487501326,1.6579415815914054,0.0012448261716018244,0.00019411191723909784,0.0001825792128333183,0.4810590064361462,0.4156482572541596
4242539.116782764,3.3335003997888535,0.002954705972495945,1.7173916289731919,0.0007504907640174794,0.00022397660214058503,0.00013897474000868946,0.4088191660446806,0.41564273143885944
3405487.632484725,11.456657045549672,0.0032824985365621996,1.6402432337655126,0.0006460108303712286,0.00029205191894949255,0.00019767372345338446,0.7384080491499962,0.4155696193598777
693920.1947846774,4.420305244746357,0.0070460857278336776,2.3715096337882753,0.0015075703510139598,0.00010262834723531818,0.00018175823666222797,0.4842132831474209,0.4154232193084121
1530915.7268798668,4.098438631410083,0.00366890484257493,1.775167810392284,0.0015035973276660251,0.000272201059900365,0.00020124825595695266,0.6075108156957014,0.4151806338959524
633562.8479443887,3.1410399932842132,0.0046602554268260965,1.8168235359962432,0.0015279425891852392,0.0002739541723160493,0.000233265267403418,0.2938846439411378,0.4144891687019382
1781999.2435973042,7.676270916775635,0.005645919092736234,2.524173893904428,0.0006166858203124624,0.00024147754639494565,0.00018634616463011715,0.25267427142256876,0.4144682359325091
4264033.6879876675,2.4825057066106573,0.005185295754255615,2.685549764392955,0.0010702216769878294,0.00011953976451033082,0.00015154935277614367,0.7125525896342124,0.41434533478304736
3100900.095178305,6.416097337953871,0.007527897751975134,1.9354056934791286,0.0014737036801168758,0.00026623618938474567,0.00018462053163425445,0.36135351735714694,0.41411631593446685
4852343.288792955,2.7657482992425653,0.001743886922094468,1.6497332388695298,0.0016295547308317212,9.103680719269101e-05,0.0001524044959559565,0.6116915683104862,0.41404085780640887
765687.8435948839,7.675258423084324,0.0031894155871429295,2.6005557629757905,0.0009953503999707877,0.00023803676649792048,0.0001963376464266753,0.3850273469220726,0.41299443396349844
2601825.105257124,12.545556154968057,0.004669718910888949,3.0559354087150297,0.0007930355334747817,0.00028449086525393874,0.00022354583341707078,0.48187821697091926,0.4128684494138611
404784.66918419156,7.890325322495302,0.007254399272632709,2.0923451172392222,0.0012860584165566816,0.00012318083153178147,0.00020035719291494757,0.6310438559140954,0.4125305381034224
2379552.106221369,3.3746954832312674,0.0016848883797558319,2.2241268714517,0.0011547065697793434,0.0001782146929725442,0.00019250881983467536,0.7320196332593834,0.4122015836062958
2477553.085338752,5.359244784051379,0.007859923863783149,2.1652578859730047,0.0006503667085445418,0.00012288726196062107,0.0001448037373548489,0.7257078877496237,0.4119183627706648
3904286.4311007243,4.344661696922897,0.0021680486841263564,2.24119329699438,0.0013947222846938975,0.00016306656851267353,0.00021004201353147997,0.5705035356040431,0.4117555122554398
2947707.0454962114,7.599896636954293,0.00708256681571675,2.03608409316481,0.0005718240499430027,0.00027499051951912745,0.00021586243863409136,0.6952202423629045,0.41169633385971804
4079833.088407844,6.395821363689942,0.007757627112561374,1.8726116923303702,0.0012428848960689166,0.0002883985083813669,0.00022819044803368518,0.5911046251237513,0.41158192584457404
604246.6732784767,11.84140686440631,0.005806608038891049,2.5811397689040496,0.0005161436767106965,0.0002231571298577941,0.00020830280113804086,0.5734052947959065,0.41149780264180275
