case_id,split,turns,voltage_v,velocity_um_s,mean_correct,min_correct,std_correct,mean_live_recovery,mean_dead_removal,mean_live_purity,mean_dead_outlet_purity,mean_wall_loss
turns_5.5_voltage_13_velocity_2600um_s,design,5.5,13.0,2600.0,0.35462962962962963,0.35,0.004243125643477645,0.15555555555555556,0.5537037037037037,0.34081941418542727,0.5868098096871681,0.3
turns_5.5_voltage_13_velocity_1800um_s,design,5.5,13.0,1800.0,0.34722222222222227,0.32222222222222224,0.024999999999999994,0.11851851851851852,0.5759259259259258,0.28086720867208675,0.6227864083876743,0.3277777777777777
turns_4.5_voltage_13_velocity_1200um_s,design,4.5,13.0,1200.0,0.34629629629629627,0.3194444444444444,0.02640106931367271,0.10925925925925926,0.5833333333333334,0.25084021550049823,0.6334616351202995,0.32222222222222224
turns_5.5_voltage_11_velocity_1800um_s,design,5.5,11.0,1800.0,0.3453703703703704,0.32222222222222224,0.03313987068180238,0.14629629629629629,0.5444444444444444,0.31441412172406324,0.6155300988319855,0.325
turns_4.5_voltage_13_velocity_1800um_s,design,4.5,13.0,1800.0,0.3444444444444444,0.325,0.02900085141364041,0.11851851851851852,0.5703703703703704,0.2754731475661708,0.5711888011710856,0.2833333333333334
turns_5.5_voltage_9_velocity_1200um_s,design,5.5,9.0,1200.0,0.34351851851851856,0.3277777777777778,0.018495355884664968,0.15,0.537037037037037,0.31909306620919026,0.5572105327919281,0.2824074074074074
turns_3.5_voltage_13_velocity_1200um_s,design,3.5,13.0,1200.0,0.3435185185185185,0.31666666666666665,0.031221695000161788,0.14444444444444446,0.5425925925925926,0.2726332646991535,0.5909265590097916,0.2740740740740741
turns_5.5_voltage_7_velocity_800um_s,design,5.5,7.0,800.0,0.3416666666666666,0.3138888888888889,0.02421610524189264,0.1574074074074074,0.525925925925926,0.3026530612244898,0.5557220812223876,0.2657407407407408
turns_4.5_voltage_9_velocity_800um_s,design,4.5,9.0,800.0,0.3361111111111111,0.3277777777777778,0.007349309197401646,0.10925925925925926,0.562962962962963,0.24078341013824886,0.5810541739715838,0.29074074074074074
turns_3.5_voltage_13_velocity_800um_s,design,3.5,13.0,800.0,0.3314814814814815,0.32222222222222224,0.008486251286955253,0.09814814814814815,0.5648148148148148,0.22497260123842402,0.6540811366491273,0.3490740740740741
turns_3.5_voltage_11_velocity_800um_s,design,3.5,11.0,800.0,0.33055555555555555,0.325,0.007349309197401646,0.09444444444444444,0.5666666666666667,0.2223955482576172,0.5920066815435409,0.3092592592592593
turns_4.5_voltage_13_velocity_800um_s,design,4.5,13.0,800.0,0.3277777777777778,0.3194444444444444,0.012108052620946323,0.1037037037037037,0.5518518518518518,0.24754385964912282,0.683927929220001,0.387037037037037
turns_5.5_voltage_9_velocity_800um_s,design,5.5,9.0,800.0,0.32407407407407407,0.3138888888888889,0.013127265628479485,0.10555555555555556,0.5425925925925926,0.24059691912708603,0.6084132878774334,0.3333333333333333
turns_4.5_voltage_11_velocity_1200um_s,design,4.5,11.0,1200.0,0.32037037037037036,0.3,0.017641258225238567,0.11296296296296297,0.5277777777777778,0.2533993166018617,0.562138419887889,0.3064814814814815
turns_5.5_voltage_11_velocity_1200um_s,design,5.5,11.0,1200.0,0.3194444444444444,0.3111111111111111,0.008333333333333331,0.10555555555555556,0.5333333333333333,0.2357646246088333,0.5943355918299139,0.3277777777777778
turns_5.5_voltage_11_velocity_800um_s,design,5.5,11.0,800.0,0.3138888888888889,0.29444444444444445,0.024689428936987744,0.08703703703703702,0.5407407407407407,0.2135961231695055,0.6548259559285471,0.38240740740740736
turns_5.5_voltage_13_velocity_1200um_s,design,5.5,13.0,1200.0,0.31296296296296294,0.3055555555555556,0.010516496936667168,0.08888888888888889,0.537037037037037,0.2220379998819546,0.6501273754794882,0.38703703703703707
turns_4.5_voltage_11_velocity_800um_s,design,4.5,11.0,800.0,0.30833333333333335,0.28888888888888886,0.018215107011950022,0.1037037037037037,0.512962962962963,0.21398098918301436,0.6301771763557744,0.3592592592592592
turns_5.5_voltage_13_velocity_800um_s,design,5.5,13.0,800.0,0.2740740740740741,0.2611111111111111,0.015795113064103694,0.061111111111111116,0.487037037037037,0.15662570422815006,0.7144606235515326,0.4648148148148148
