family,sample_id,note,frequency_hz,voltage_v,velocity_um_s,turns,inner_radius_um,pitch_um,channel_width_um,outlet_split_ratio,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,dep_sign,dean_scale,target_correct,wall_loss,distribution_gap_um,live_recovery,dead_removal,live_outlet_purity,dead_outlet_purity,length_mm,footprint_mm2,residence_s,flow_uL_min,pressure_drop_kPa,reynolds,electric_field_kV_m,active_joule_power_mW,adiabatic_delta_c_proxy,steady_substrate_delta_c_proxy,min_bend_radius_um,thermal_risk,v7_score
long_low_voltage_spiral,137,Longer path intended to reduce field intensity need.,1388555.0612704507,21.44864891371823,3147.647768544885,8.16224044979614,840.2079581006307,194.6758283278067,219.2645700829624,0.3555152519014947,-0.7188837180274271,0.36126669120291227,0.44915183563786487,0.9500242563333833,-1.0,0.55,0.5928571428571429,0.0,18.419890603979816,0.18571428571428572,1.0,1.0,0.5511811023622047,83.85199593852995,20.249649657875963,26.639574089731646,2.0705029042277703,1.4794339617047931,0.25554685179203285,97.82086045913746,8.811948346164252,61.2739543989293,2.175827358755539,730.5756730591495,low,0.5890051469186129
same_length_serpentine,74,Same-length packed serpentine with no spiral Dean contribution.,1388555.0612704507,24.0,2226.6267959071392,8.437736305436049,1833.2050137711194,269.8665174594302,183.75327159390417,0.3555152519014947,-0.6613476090288093,0.4672961564606637,0.47478818855082167,0.8727220232954589,-1.0,0.0,0.9071428571428571,0.07857142857142857,43.40627132200741,0.9428571428571428,0.8714285714285714,0.9850746268656716,0.9838709677419355,157.5664948069543,24.963431374358045,70.76466298554577,1.2274498750997676,2.032455235631969,0.17450986063637502,130.60991944154412,19.65450652500939,230.53570008766002,3.936659634299738,1741.3283779741673,moderate,0.5874541989004038
short_smooth_spiral,25,Shorter smooth Archimedean spiral.,1388555.0612704507,23.43251949619112,2236.0568019369675,4.326745027586907,645.1311892456845,209.6564484112634,169.6926919966686,0.3555152519014947,-0.6903095122308526,0.2727279423803687,0.43215253071065435,0.9439288971004625,-1.0,0.65,0.5857142857142857,0.0,20.727116772208625,0.17142857142857143,1.0,1.0,0.546875,29.883513862292805,8.419848657202621,13.364380473879926,1.1383274945344368,0.39385267016659814,0.17219697535016218,138.08797079282087,4.948649831119193,62.58918675240466,2.938680986199171,560.2848432473502,low,0.5857142857142857
wide_low_heat_spiral,40,Wider channel to reduce electric field and heating.,1388555.0612704507,22.1508209484436,2471.2856995481607,5.304521278252326,730.8354868808415,286.9960869628693,218.3094468653014,0.3555152519014947,-0.7101834223766748,0.40150972003268853,0.36021279903528935,0.9327829807694458,-1.0,0.55,0.5857142857142857,0.0,15.669070004038062,0.17142857142857143,1.0,1.0,0.546875,49.753802243233494,17.532531568187565,20.132760146805474,1.6185150423434653,0.6897062536887182,0.20047244156191732,101.46524241853274,6.402684863846308,56.95412668048417,1.825944199485673,621.6807634481909,low,0.5857142857142857
short_smooth_spiral,21,Shorter smooth Archimedean spiral.,1388555.0612704507,21.39838637787205,2656.4624503955915,4.331383021849312,706.623953912469,226.69558525521808,160.73424072796664,0.3555152519014947,-0.6760403456202652,0.3251297463311796,0.40395403346224706,0.7866868069887354,-1.0,0.65,0.5785714285714286,0.0,13.12206249746594,0.15714285714285714,1.0,1.0,0.5426356589147286,32.607617583542584,9.83002697913149,12.274827215678043,1.2809534249600674,0.5171241205197172,0.20200965922346847,133.1289853422556,3.55523545764991,39.95902102761948,1.808354883052429,626.2568335484856,low,0.5785714285714286
short_smooth_spiral,34,Shorter smooth Archimedean spiral.,1388555.0612704507,20.029803712864588,2351.7333114066623,4.607774908106038,735.0494617300209,202.20703979323767,177.19074504910475,0.3555152519014947,-0.6104125071934484,0.22657273802370537,0.27449815763497915,0.7994320768865812,-1.0,0.65,0.5642857142857143,0.0,14.696335048685434,0.12857142857142856,1.0,1.0,0.5343511450381679,34.7813709193443,9.68025725354938,14.789674811613834,1.2501161328148345,0.4775128621166313,0.18286627889808357,113.04091366235716,4.133935387567881,47.6094467686843,2.1352404586418015,646.4540892054686,low,0.5642857142857143
wide_low_heat_spiral,36,Wider channel to reduce electric field and heating.,1388555.0612704507,22.451426093041206,2459.6769046370628,5.6,850.0,260.0,230.0,0.3555152519014947,-0.624924223339343,0.3086177086375571,0.35,0.92,-1.0,0.55,0.5642857142857143,0.0,18.103653192265277,0.12857142857142856,1.0,1.0,0.5343511450381679,55.54389608477797,18.413631666519294,22.581785428836127,1.6971770641995734,0.7598414226004604,0.20143875392940175,97.61489605670089,6.938589966413173,58.86049092733122,1.8840905727003625,735.0,low,0.5642857142857143
compact_c_arc,71,"C-shaped/circular-arc DEP path, short and compact.",1388555.0612704507,24.0,2270.0573032525576,1.4199470821225662,917.0652692222482,302.4550819187528,188.4594539964183,0.3555152519014947,-0.5003973262802193,0.31271992350516037,0.13018034983187962,0.9813256394464327,-1.0,0.35,0.5642857142857143,0.0,8.617337864286299,0.21428571428571427,0.9142857142857143,0.7142857142857143,0.5378151260504201,10.106926586642988,4.890998848676107,4.452278174723474,1.2834412797346764,0.13222927539328985,0.17886911652419976,127.34834730263054,2.6292226566432184,29.493830008530974,2.6878177014444553,822.8355422240389,low,0.5642857142857143
same_length_serpentine,73,Same-length packed serpentine with no spiral Dean contribution.,1388555.0612704507,19.109491354223252,2079.6106209333357,9.233013187192554,1618.0705017791252,294.40622609855285,188.98337528989003,0.3555152519014947,-0.6081879682868102,0.36064612328410406,0.5270475837319355,0.985397501440199,-1.0,0.0,0.8785714285714286,0.07142857142857142,40.48218995279336,0.8571428571428571,0.9,1.0,0.9,172.7385308040834,27.754305068146948,83.06292007998971,1.1790355032980575,2.0691947729025766,0.1639581826368003,101.11731428709193,15.298929123662745,186.81595317333216,2.7561362257311597,1523.57881413418,moderate,0.5508999440098524
stepwise_late_dep_spiral,119,Stepwise/multi-stage-inspired late DEP activation.,1388555.0612704507,20.079883840569686,3060.6758724387473,6.4992263891153135,815.8386377922636,201.2984882831647,201.58844607822797,0.3555152519014947,-0.6393191337140264,0.39702721699816723,0.576081001577219,1.0,-1.0,0.85,0.55,0.0,7.003785544152507,0.3142857142857143,0.7857142857142857,0.5945945945945946,0.5339805825242718,60.043234527159164,15.551691110365748,19.61763905412065,1.8509906792221553,1.0454745871122193,0.2445048300046173,99.60830707915437,5.091007246169469,39.598550929912214,1.6368018146837209,715.0444147531497,low,0.55
