case_id,split,seed,turns,voltage_v,velocity_um_s,particles_total,correct_fraction,live_recovery,dead_removal,live_purity,dead_outlet_purity,wall_loss,live_inner,live_outer,live_lost,dead_inner,dead_outer,dead_lost,mean_live_re_cm,mean_dead_re_cm,mean_live_radius_um,mean_dead_radius_um
turns_5_voltage_14_velocity_1000um_s,design,13,5.0,14.0,1000.0,300,0.31333333333333335,0.1,0.5266666666666666,0.20833333333333334,0.8777777777777778,0.46,15,11,124,57,79,14,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_5_voltage_14_velocity_1000um_s,validation,101,5.0,14.0,1000.0,300,0.33,0.14,0.52,0.25925925925925924,0.9285714285714286,0.45,21,6,123,60,78,12,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_5_voltage_14_velocity_1000um_s,validation,103,5.0,14.0,1000.0,300,0.31666666666666665,0.1,0.5333333333333333,0.20270270270270271,0.898876404494382,0.45666666666666667,15,9,126,59,80,11,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_5_voltage_14_velocity_1000um_s,validation,107,5.0,14.0,1000.0,300,0.31,0.14666666666666667,0.47333333333333333,0.275,0.8987341772151899,0.47,22,8,120,58,71,21,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_5_voltage_14_velocity_1500um_s,design,7,5.0,14.0,1500.0,300,0.33666666666666667,0.18666666666666668,0.4866666666666667,0.3076923076923077,0.7156862745098039,0.3566666666666667,28,29,93,63,73,14,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_5_voltage_14_velocity_1500um_s,design,11,5.0,14.0,1500.0,300,0.36,0.18,0.54,0.30337078651685395,0.7570093457943925,0.3466666666666667,27,26,97,62,81,7,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_5_voltage_14_velocity_1500um_s,design,13,5.0,14.0,1500.0,300,0.3566666666666667,0.2,0.5133333333333333,0.3448275862068966,0.7549019607843137,0.37,30,25,95,57,77,16,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_5_voltage_14_velocity_1500um_s,validation,101,5.0,14.0,1500.0,300,0.3466666666666667,0.18,0.5133333333333333,0.30337078651685395,0.7264150943396226,0.35,27,29,94,62,77,11,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_5_voltage_14_velocity_1500um_s,validation,103,5.0,14.0,1500.0,300,0.32666666666666666,0.12,0.5333333333333333,0.23076923076923078,0.7547169811320755,0.38666666666666666,18,26,106,60,80,10,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_5_voltage_14_velocity_1500um_s,validation,107,5.0,14.0,1500.0,300,0.30666666666666664,0.14666666666666667,0.4666666666666667,0.2682926829268293,0.7,0.3933333333333333,22,30,98,60,70,20,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_5_voltage_14_velocity_2000um_s,design,7,5.0,14.0,2000.0,300,0.35,0.22,0.48,0.3473684210526316,0.6260869565217392,0.3,33,43,74,62,72,16,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_5_voltage_14_velocity_2000um_s,design,11,5.0,14.0,2000.0,300,0.36666666666666664,0.18,0.5533333333333333,0.3068181818181818,0.6693548387096774,0.29333333333333333,27,41,82,61,83,6,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_5_voltage_14_velocity_2000um_s,design,13,5.0,14.0,2000.0,300,0.36,0.22,0.5,0.3548387096774194,0.6696428571428571,0.31666666666666665,33,37,80,60,75,15,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_5_voltage_14_velocity_2000um_s,validation,101,5.0,14.0,2000.0,300,0.3566666666666667,0.2,0.5133333333333333,0.32608695652173914,0.6311475409836066,0.2866666666666667,30,45,75,62,77,11,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_5_voltage_14_velocity_2000um_s,validation,103,5.0,14.0,2000.0,300,0.37,0.2,0.54,0.3333333333333333,0.675,0.3,30,39,81,60,81,9,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_5_voltage_14_velocity_2000um_s,validation,107,5.0,14.0,2000.0,300,0.33,0.2,0.46,0.32608695652173914,0.6160714285714286,0.32,30,43,77,62,69,19,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_5_voltage_14_velocity_3000um_s,design,7,5.0,14.0,3000.0,300,0.3466666666666667,0.21333333333333335,0.48,0.3404255319148936,0.5454545454545454,0.24666666666666667,32,60,58,62,72,16,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_5_voltage_14_velocity_3000um_s,design,11,5.0,14.0,3000.0,300,0.37333333333333335,0.20666666666666667,0.54,0.34065934065934067,0.5955882352941176,0.24333333333333335,31,55,64,60,81,9,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_5_voltage_14_velocity_3000um_s,design,13,5.0,14.0,3000.0,300,0.35333333333333333,0.19333333333333333,0.5133333333333333,0.3333333333333333,0.5539568345323741,0.24666666666666667,29,62,59,58,77,15,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_5_voltage_14_velocity_3000um_s,validation,101,5.0,14.0,3000.0,300,0.37333333333333335,0.22666666666666666,0.52,0.3655913978494624,0.582089552238806,0.24333333333333335,34,56,60,59,78,13,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_5_voltage_14_velocity_3000um_s,validation,103,5.0,14.0,3000.0,300,0.38,0.24666666666666667,0.5133333333333333,0.38144329896907214,0.6062992125984252,0.25333333333333335,37,50,63,60,77,13,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_5_voltage_14_velocity_3000um_s,validation,107,5.0,14.0,3000.0,300,0.36,0.25333333333333335,0.4666666666666667,0.38,0.5691056910569106,0.25666666666666665,38,53,59,62,70,18,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_6_voltage_8_velocity_800um_s,design,7,6.0,8.0,800.0,300,0.34,0.2,0.48,0.32608695652173914,0.6260869565217392,0.31,30,43,77,62,72,16,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_6_voltage_8_velocity_800um_s,design,11,6.0,8.0,800.0,300,0.35333333333333333,0.18,0.5266666666666666,0.3068181818181818,0.6638655462184874,0.31,27,40,83,61,79,10,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_6_voltage_8_velocity_800um_s,design,13,6.0,8.0,800.0,300,0.37333333333333335,0.22666666666666666,0.52,0.37362637362637363,0.6842105263157895,0.31666666666666665,34,36,80,57,78,15,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_6_voltage_8_velocity_800um_s,validation,101,6.0,8.0,800.0,300,0.3433333333333333,0.17333333333333334,0.5133333333333333,0.2988505747126437,0.6311475409836066,0.30333333333333334,26,45,79,61,77,12,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_6_voltage_8_velocity_800um_s,validation,103,6.0,8.0,800.0,300,0.35333333333333333,0.18,0.5266666666666666,0.3103448275862069,0.6694915254237288,0.31666666666666665,27,39,84,60,79,11,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_6_voltage_8_velocity_800um_s,validation,107,6.0,8.0,800.0,300,0.33,0.18666666666666668,0.47333333333333333,0.3181818181818182,0.6283185840707964,0.33,28,42,80,60,71,19,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_6_voltage_8_velocity_1000um_s,design,7,6.0,8.0,1000.0,300,0.35,0.22,0.48,0.3473684210526316,0.5806451612903226,0.27,33,52,65,62,72,16,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_6_voltage_8_velocity_1000um_s,design,11,6.0,8.0,1000.0,300,0.36666666666666664,0.2,0.5333333333333333,0.3333333333333333,0.6201550387596899,0.27,30,49,71,60,80,10,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_6_voltage_8_velocity_1000um_s,design,13,6.0,8.0,1000.0,300,0.35333333333333333,0.18666666666666668,0.52,0.32941176470588235,0.609375,0.29,28,50,72,57,78,15,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_6_voltage_8_velocity_1000um_s,validation,101,6.0,8.0,1000.0,300,0.37666666666666665,0.23333333333333334,0.52,0.3723404255319149,0.609375,0.26,35,50,65,59,78,13,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_6_voltage_8_velocity_1000um_s,validation,103,6.0,8.0,1000.0,300,0.37333333333333335,0.23333333333333334,0.5133333333333333,0.3684210526315789,0.6416666666666667,0.2833333333333333,35,43,72,60,77,13,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_6_voltage_8_velocity_1000um_s,validation,107,6.0,8.0,1000.0,300,0.3466666666666667,0.22,0.47333333333333333,0.3548387096774194,0.5916666666666667,0.29,33,49,68,60,71,19,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_6_voltage_8_velocity_1500um_s,design,7,6.0,8.0,1500.0,300,0.33666666666666667,0.21333333333333335,0.46,0.3404255319148936,0.5111111111111111,0.23666666666666666,32,66,52,62,69,19,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_6_voltage_8_velocity_1500um_s,design,11,6.0,8.0,1500.0,300,0.37333333333333335,0.21333333333333335,0.5333333333333333,0.3516483516483517,0.5594405594405595,0.22,32,63,55,59,80,11,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_6_voltage_8_velocity_1500um_s,design,13,6.0,8.0,1500.0,300,0.38666666666666666,0.25333333333333335,0.52,0.4,0.5571428571428572,0.21666666666666667,38,62,50,57,78,15,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_6_voltage_8_velocity_1500um_s,validation,101,6.0,8.0,1500.0,300,0.39,0.24666666666666667,0.5333333333333333,0.40217391304347827,0.5594405594405595,0.21666666666666667,37,63,50,55,80,15,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_6_voltage_8_velocity_1500um_s,validation,103,6.0,8.0,1500.0,300,0.3566666666666667,0.22666666666666666,0.4866666666666667,0.3655913978494624,0.5615384615384615,0.25666666666666665,34,57,59,59,73,18,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_6_voltage_8_velocity_1500um_s,validation,107,6.0,8.0,1500.0,300,0.37,0.24666666666666667,0.49333333333333335,0.39361702127659576,0.556390977443609,0.24333333333333335,37,59,54,57,74,19,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_6_voltage_8_velocity_2000um_s,design,7,6.0,8.0,2000.0,300,0.35,0.24,0.46,0.3711340206185567,0.49640287769784175,0.21333333333333335,36,70,44,61,69,20,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_6_voltage_8_velocity_2000um_s,design,11,6.0,8.0,2000.0,300,0.39666666666666667,0.26,0.5333333333333333,0.4020618556701031,0.5333333333333333,0.17666666666666667,39,70,41,58,80,12,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_6_voltage_8_velocity_2000um_s,design,13,6.0,8.0,2000.0,300,0.38666666666666666,0.26666666666666666,0.5066666666666667,0.41237113402061853,0.5170068027210885,0.18666666666666668,40,71,39,57,76,17,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
