case_id,split,turns,voltage_v,velocity_um_s,mean_correct,min_correct,std_correct,mean_live_recovery,mean_dead_removal,mean_live_purity,mean_dead_outlet_purity,mean_wall_loss
turns_5_voltage_12_velocity_3000um_s,design,5.0,12.0,3000.0,0.37666666666666665,0.35,0.025166114784235853,0.24444444444444446,0.508888888888889,0.3779761806891487,0.5372509684560044,0.20333333333333334
turns_6_voltage_10_velocity_3000um_s,design,6.0,10.0,3000.0,0.3755555555555556,0.3466666666666667,0.025891511550513426,0.25555555555555554,0.4955555555555555,0.40196513002364065,0.5205007824726134,0.20666666666666667
turns_5_voltage_10_velocity_2000um_s,design,5.0,10.0,2000.0,0.3755555555555556,0.3433333333333333,0.028349668493717946,0.24444444444444444,0.5066666666666667,0.37116457280064213,0.5410461435948692,0.20333333333333334
turns_4_voltage_10_velocity_1000um_s,design,4.0,10.0,1000.0,0.3755555555555556,0.36666666666666664,0.012619796324000626,0.24,0.5111111111111111,0.3502450794309195,0.6298018843901197,0.25222222222222224
turns_4_voltage_13_velocity_1500um_s,design,4.0,13.0,1500.0,0.3744444444444444,0.36,0.01710533813148961,0.23555555555555555,0.5133333333333333,0.348509438139517,0.6484494311983792,0.26666666666666666
turns_4_voltage_9_velocity_800um_s,design,4.0,9.0,800.0,0.37333333333333335,0.3566666666666667,0.016666666666666663,0.24222222222222223,0.5044444444444444,0.3493794721059351,0.6299621365787694,0.25333333333333335
turns_4_voltage_12_velocity_2000um_s,design,4.0,12.0,2000.0,0.37333333333333335,0.3433333333333333,0.026457513110645908,0.23111111111111113,0.5155555555555557,0.34662199553288664,0.5561949928705844,0.20333333333333334
turns_5_voltage_13_velocity_3000um_s,design,5.0,13.0,3000.0,0.3733333333333333,0.3433333333333333,0.02645751311064591,0.2355555555555556,0.5111111111111111,0.37020332187857957,0.5530754958077334,0.22
turns_4_voltage_8_velocity_800um_s,design,4.0,8.0,800.0,0.37222222222222223,0.36,0.01347150628109127,0.2333333333333333,0.5111111111111112,0.34413334808085194,0.5805356954219733,0.22111111111111112
turns_4_voltage_9_velocity_1000um_s,design,4.0,9.0,1000.0,0.37222222222222223,0.36,0.01575271875417538,0.2288888888888889,0.5155555555555555,0.342007277650842,0.5812030817186298,0.2222222222222222
turns_4_voltage_11_velocity_1500um_s,design,4.0,11.0,1500.0,0.37222222222222223,0.3566666666666667,0.016777409856157218,0.22666666666666668,0.5177777777777778,0.3421713378768217,0.5794167401565194,0.22222222222222224
turns_5_voltage_9_velocity_1500um_s,design,5.0,9.0,1500.0,0.3711111111111111,0.3333333333333333,0.034210676262979245,0.24222222222222223,0.5,0.36516561243502993,0.5486796908544439,0.21333333333333335
turns_5_voltage_9_velocity_1000um_s,design,5.0,9.0,1000.0,0.3711111111111111,0.36,0.013877773329774223,0.2288888888888889,0.5133333333333333,0.3513293878125332,0.6255359725857557,0.2644444444444445
turns_4_voltage_13_velocity_2000um_s,design,4.0,13.0,2000.0,0.3711111111111111,0.3566666666666667,0.01347150628109127,0.22666666666666668,0.5155555555555557,0.3433133650072299,0.5811400671061713,0.22666666666666668
turns_4_voltage_14_velocity_2000um_s,design,4.0,14.0,2000.0,0.3711111111111111,0.36333333333333334,0.008388704928078609,0.22666666666666668,0.5155555555555555,0.34317603200581925,0.6117733581657369,0.24888888888888885
turns_5_voltage_8_velocity_800um_s,design,5.0,8.0,800.0,0.37000000000000005,0.36,0.012018504251546654,0.2288888888888889,0.5111111111111112,0.34776977415875004,0.6245927311159393,0.26222222222222225
turns_5_voltage_13_velocity_2000um_s,design,5.0,13.0,2000.0,0.36777777777777776,0.35333333333333333,0.019531550923607727,0.22444444444444445,0.5111111111111111,0.3553003387589853,0.6245543178511714,0.27555555555555555
turns_5_voltage_8_velocity_1000um_s,design,5.0,8.0,1000.0,0.3666666666666667,0.3566666666666667,0.017320508075688756,0.21999999999999997,0.5133333333333333,0.3434240362811791,0.5773745430038738,0.23555555555555555
turns_6_voltage_8_velocity_1500um_s,design,6.0,8.0,1500.0,0.3655555555555556,0.33666666666666667,0.025891511550513426,0.22666666666666668,0.5044444444444445,0.3640246278544151,0.5425648425648426,0.22444444444444445
turns_5_voltage_12_velocity_2000um_s,design,5.0,12.0,2000.0,0.3655555555555556,0.3466666666666667,0.020092379244472353,0.22,0.5111111111111111,0.35021463338460707,0.5864661654135338,0.2511111111111111
turns_5_voltage_11_velocity_1500um_s,design,5.0,11.0,1500.0,0.3644444444444444,0.35,0.019531550923607716,0.22666666666666668,0.5022222222222222,0.3528094657291816,0.6167902542372882,0.27222222222222225
turns_4_voltage_11_velocity_1000um_s,design,4.0,11.0,1000.0,0.3644444444444444,0.3566666666666667,0.008388704928078609,0.21777777777777776,0.5111111111111112,0.33041498240006684,0.6625201951158889,0.28555555555555556
turns_6_voltage_11_velocity_3000um_s,design,6.0,11.0,3000.0,0.36333333333333334,0.32666666666666666,0.03214550253664318,0.2288888888888889,0.4977777777777777,0.3744535034857615,0.5289366134954371,0.22444444444444445
turns_4_voltage_12_velocity_1000um_s,design,4.0,12.0,1000.0,0.36333333333333334,0.3466666666666667,0.014529663145135577,0.22222222222222224,0.5044444444444444,0.3368282020712065,0.7088367333465372,0.31444444444444447
turns_5_voltage_11_velocity_2000um_s,design,5.0,11.0,2000.0,0.36333333333333334,0.33666666666666667,0.025166114784235822,0.21999999999999997,0.5066666666666667,0.3473684210526316,0.5556518724447393,0.22777777777777777
turns_5_voltage_10_velocity_1000um_s,design,5.0,10.0,1000.0,0.36333333333333334,0.3433333333333333,0.017638342073763937,0.20666666666666667,0.5199999999999999,0.3307703673395163,0.6681508440615033,0.29888888888888887
turns_5_voltage_10_velocity_1500um_s,design,5.0,10.0,1500.0,0.3633333333333333,0.35,0.02027587510099407,0.22444444444444445,0.5022222222222222,0.35042055029678787,0.5760809486402574,0.24444444444444446
turns_6_voltage_9_velocity_2000um_s,design,6.0,9.0,2000.0,0.3622222222222222,0.33,0.02795499027868693,0.22666666666666666,0.4977777777777777,0.36686709836571074,0.5315998555435174,0.22333333333333336
turns_5_voltage_9_velocity_800um_s,design,5.0,9.0,800.0,0.3622222222222222,0.3433333333333333,0.01835856849095368,0.20666666666666667,0.5177777777777778,0.3271623141223745,0.6711751831369056,0.29888888888888887
turns_5_voltage_13_velocity_1500um_s,design,5.0,13.0,1500.0,0.36000000000000004,0.3433333333333333,0.01527525231651948,0.21333333333333335,0.5066666666666667,0.3399127831032334,0.694769843634342,0.32222222222222224
turns_4_voltage_14_velocity_1500um_s,design,4.0,14.0,1500.0,0.36000000000000004,0.3433333333333333,0.016666666666666663,0.2111111111111111,0.5088888888888888,0.3239489602455687,0.6673913446427763,0.2933333333333333
turns_6_voltage_12_velocity_2000um_s,design,6.0,12.0,2000.0,0.35888888888888887,0.33666666666666667,0.02168802366215904,0.21555555555555558,0.5022222222222222,0.3578424709053111,0.6236116652417593,0.2966666666666667
turns_5_voltage_14_velocity_2000um_s,design,5.0,14.0,2000.0,0.35888888888888887,0.35,0.008388704928078609,0.20666666666666667,0.5111111111111111,0.33634177084941097,0.6550282174580913,0.3033333333333333
turns_6_voltage_9_velocity_1000um_s,design,6.0,9.0,1000.0,0.35888888888888887,0.34,0.01835856849095365,0.20222222222222222,0.5155555555555555,0.33927274089053666,0.6608216552880585,0.31222222222222223
turns_5_voltage_14_velocity_3000um_s,design,5.0,14.0,3000.0,0.35777777777777775,0.3466666666666667,0.013877773329774223,0.20444444444444446,0.5111111111111111,0.3381394019691892,0.5649998717603458,0.24555555555555555
turns_5_voltage_11_velocity_1000um_s,design,5.0,11.0,1000.0,0.35777777777777775,0.33666666666666667,0.018358568490953665,0.19555555555555557,0.5199999999999999,0.3238106622041597,0.7216086940857583,0.3377777777777778
turns_4_voltage_11_velocity_800um_s,design,4.0,11.0,800.0,0.3566666666666667,0.33,0.024037008503093246,0.21555555555555558,0.4977777777777777,0.32680002694146965,0.7149109504496561,0.32222222222222224
turns_5_voltage_10_velocity_800um_s,design,5.0,10.0,800.0,0.3566666666666667,0.32666666666666666,0.02603416558635552,0.19555555555555557,0.5177777777777778,0.32099060359929926,0.7345918607386497,0.3433333333333333
turns_5_voltage_12_velocity_1500um_s,design,5.0,12.0,1500.0,0.35666666666666663,0.3466666666666667,0.008819171036881963,0.20888888888888887,0.5044444444444444,0.33504942390149245,0.6519261834527321,0.3022222222222222
turns_6_voltage_8_velocity_1000um_s,design,6.0,8.0,1000.0,0.35666666666666663,0.35,0.008819171036881963,0.20222222222222222,0.5111111111111111,0.3367045063639491,0.6033917333500042,0.27666666666666667
turns_6_voltage_12_velocity_3000um_s,design,6.0,12.0,3000.0,0.35555555555555557,0.32,0.030971910810591887,0.21555555555555558,0.4955555555555556,0.35918248418248416,0.5458279244510135,0.24666666666666667
turns_6_voltage_10_velocity_2000um_s,design,6.0,10.0,2000.0,0.35555555555555557,0.32,0.030792014356780046,0.21333333333333335,0.4977777777777777,0.3526392594541104,0.551661979955296,0.24666666666666667
turns_4_voltage_10_velocity_800um_s,design,4.0,10.0,800.0,0.35555555555555557,0.33666666666666667,0.01835856849095368,0.21333333333333335,0.4977777777777777,0.32103174603174606,0.6622070516844528,0.2922222222222222
turns_6_voltage_8_velocity_800um_s,design,6.0,8.0,800.0,0.35555555555555557,0.34,0.016777409856157218,0.20222222222222222,0.5088888888888888,0.33551050398876486,0.658054343018672,0.31222222222222223
turns_6_voltage_12_velocity_1500um_s,design,6.0,12.0,1500.0,0.35555555555555557,0.3433333333333333,0.01575271875417538,0.1977777777777778,0.5133333333333333,0.3370985102132409,0.6975599604909949,0.34
turns_6_voltage_9_velocity_1500um_s,design,6.0,9.0,1500.0,0.3544444444444444,0.34,0.015030832509409633,0.20222222222222222,0.5066666666666667,0.33931407688523435,0.5642064403258432,0.25333333333333335
turns_6_voltage_14_velocity_2000um_s,design,6.0,14.0,2000.0,0.3544444444444444,0.34,0.017105338131489616,0.1977777777777778,0.5111111111111112,0.3420307948397836,0.6988548333455009,0.3466666666666667
turns_6_voltage_11_velocity_2000um_s,design,6.0,11.0,2000.0,0.35333333333333333,0.3433333333333333,0.012018504251546623,0.20444444444444443,0.5022222222222222,0.34359787635390043,0.5759923715331684,0.2677777777777778
turns_6_voltage_13_velocity_2000um_s,design,6.0,13.0,2000.0,0.35333333333333333,0.32666666666666666,0.02403700850309327,0.19999999999999998,0.5066666666666667,0.34297389307542275,0.656567814163508,0.3233333333333333
turns_6_voltage_10_velocity_1500um_s,design,6.0,10.0,1500.0,0.35333333333333333,0.34,0.013333333333333308,0.19777777777777775,0.5088888888888888,0.33676543907791484,0.6021095437793874,0.28444444444444444
turns_6_voltage_11_velocity_1500um_s,design,6.0,11.0,1500.0,0.3522222222222222,0.3333333333333333,0.01835856849095368,0.19555555555555557,0.5088888888888888,0.3342768342768343,0.6519465755185788,0.31777777777777777
turns_5_voltage_14_velocity_1500um_s,design,5.0,14.0,1500.0,0.3511111111111111,0.33666666666666667,0.012619796324000607,0.18888888888888888,0.5133333333333333,0.31863022680535275,0.7425325270295033,0.35777777777777775
turns_6_voltage_10_velocity_1000um_s,design,6.0,10.0,1000.0,0.35000000000000003,0.33,0.017638342073763937,0.18444444444444444,0.5155555555555555,0.32172640021477233,0.7178695921815188,0.3544444444444445
turns_6_voltage_14_velocity_3000um_s,design,6.0,14.0,3000.0,0.34888888888888886,0.33666666666666667,0.021169509870286287,0.19999999999999998,0.4977777777777777,0.342846786688823,0.5809824921195549,0.2822222222222222
turns_6_voltage_9_velocity_800um_s,design,6.0,9.0,800.0,0.34888888888888886,0.32666666666666666,0.02168802366215904,0.18888888888888888,0.5088888888888888,0.3231017067223964,0.7244941973913935,0.35666666666666663
turns_6_voltage_13_velocity_1500um_s,design,6.0,13.0,1500.0,0.3466666666666667,0.32666666666666666,0.017638342073763937,0.17333333333333334,0.5199999999999999,0.3157508081104907,0.7545457404454025,0.3811111111111111
turns_6_voltage_13_velocity_3000um_s,design,6.0,13.0,3000.0,0.34555555555555556,0.31666666666666665,0.02694301256218254,0.19333333333333333,0.4977777777777777,0.33613627637163646,0.5565272781774581,0.26555555555555554
turns_4_voltage_13_velocity_1000um_s,design,4.0,13.0,1000.0,0.34555555555555556,0.33,0.013471506281091259,0.18888888888888888,0.5022222222222222,0.30062030572068554,0.747967032967033,0.35000000000000003
turns_5_voltage_12_velocity_1000um_s,design,5.0,12.0,1000.0,0.34,0.32,0.01999999999999999,0.16222222222222224,0.5177777777777778,0.2842555071318738,0.7684320318824337,0.37777777777777777
turns_4_voltage_12_velocity_800um_s,design,4.0,12.0,800.0,0.3344444444444445,0.31666666666666665,0.01575271875417538,0.17333333333333334,0.4955555555555556,0.2817340221733105,0.760469220835127,0.3666666666666667
turns_5_voltage_11_velocity_800um_s,design,5.0,11.0,800.0,0.3333333333333333,0.31666666666666665,0.023333333333333338,0.15111111111111108,0.5155555555555554,0.27043469728191544,0.7861544655022916,0.3933333333333333
turns_6_voltage_11_velocity_1000um_s,design,6.0,11.0,1000.0,0.3333333333333333,0.31333333333333335,0.017638342073763937,0.1488888888888889,0.5177777777777778,0.2805830730328722,0.7686584592800187,0.3977777777777778
turns_6_voltage_10_velocity_800um_s,design,6.0,10.0,800.0,0.33,0.31666666666666665,0.013333333333333336,0.14444444444444446,0.5155555555555557,0.27197715224873875,0.786410930476073,0.4077777777777778
turns_4_voltage_14_velocity_1000um_s,design,4.0,14.0,1000.0,0.3277777777777778,0.31333333333333335,0.015030832509409633,0.15555555555555556,0.5,0.26365714307908616,0.7865828329745855,0.3877777777777778
turns_6_voltage_14_velocity_1500um_s,design,6.0,14.0,1500.0,0.32555555555555554,0.31,0.016777409856157218,0.13333333333333333,0.5177777777777778,0.2675213963205068,0.7895750668355143,0.42333333333333334
turns_5_voltage_13_velocity_1000um_s,design,5.0,13.0,1000.0,0.31777777777777777,0.3,0.02523959264800123,0.1177777777777778,0.5177777777777778,0.2265138154027043,0.8143135435992579,0.4244444444444444
turns_4_voltage_13_velocity_800um_s,design,4.0,13.0,800.0,0.3166666666666667,0.30333333333333334,0.01527525231651945,0.13777777777777778,0.4955555555555556,0.23931237538832476,0.8078526169662984,0.4066666666666667
turns_6_voltage_12_velocity_800um_s,design,6.0,12.0,800.0,0.3133333333333333,0.2966666666666667,0.01527525231651945,0.10222222222222223,0.5244444444444444,0.22008281573498964,0.9324760238292416,0.48666666666666664
