sample_id,family,equation,shape_class,inlet_kind,mean_target_correct,std_target_correct,mean_wall_loss,mean_live_recovery,mean_dead_removal,mean_live_outlet_purity,mean_dead_outlet_purity,length_mm,footprint_mm2,residence_s,flow_uL_min,active_joule_power_mW,steady_substrate_delta_c_proxy,thermal_risk,manufacturable_gap_ok,manufacturable_bend_ok,manufacturable_no_intersection_ok,self_intersects,channel_overlap_flag,min_nonlocal_clearance_um,min_curvature_radius_um,short_channel_score,v11_score
131,fermat_spiral_short,r(theta)=a sqrt(1+k theta),fermat_spiral,tangential,0.5,0.0,0.0,1.0,0.0,0.5,0.0,6.498156470272485,4.955998673706383,4.453931509112735,0.4611531734466723,3.6947016695820913,3.7275046996925236,low,True,True,True,False,False,217.12958301643974,971.9404877075574,0.0,0.5
134,short_circular_c_arc,"partial circular spiral arc r(theta)=a+b theta, theta<1.2 turns",short_c_arc,dual_side_electrode_entry,0.5,0.0,0.0,1.0,0.0,0.5,0.0,6.48613975859047,5.30363814516001,6.653289864513795,0.3313258088699079,1.7529688857137635,1.652609810223843,low,True,True,True,False,False,123.01585705425718,1074.077038957032,0.0,0.5
136,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.5,0.0,0.0,1.0,0.0,0.5,0.0,9.936047104981766,9.084972524787203,7.007637514140545,0.40982833236679556,1.7355601845266828,0.955181856517136,low,True,True,True,False,False,167.80261844541857,1317.083022995766,0.0,0.5
137,elliptic_logarithmic_spiral,"x=a exp(k theta) cos(theta), y=e a exp(k theta) sin(theta)",elliptic_logarithmic_spiral,major_axis_prefocus,0.5,0.0,0.0,1.0,0.0,0.5,0.0,4.26699694185904,2.96328138931871,3.8483946880749103,0.3365250211665835,0.2687969324466194,0.4535460814074405,low,True,True,True,False,False,125.66508196784433,481.46392008215014,0.0,0.5
138,elliptic_prefocus_spiral,"straight inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_inlet,straight_prefocus,0.5,0.0,0.0,1.0,0.0,0.5,0.0,5.460538155232193,2.9816682467744555,3.443966297830423,0.4621884155273461,1.107741739939454,1.8575871764704206,low,True,True,True,False,False,117.07833805174285,540.9974456617356,0.0,0.5
140,elliptic_logarithmic_spiral,"x=a exp(k theta) cos(theta), y=e a exp(k theta) sin(theta)",elliptic_logarithmic_spiral,major_axis_prefocus,0.5,0.0,0.0,1.0,0.0,0.5,0.0,5.29693834571552,3.5787211585464425,5.548555735237489,0.35848149404111046,1.6460261460027095,2.2997407077550442,low,True,True,True,False,False,179.36700809858363,649.1749687560506,0.0,0.5
144,elliptic_s_bend_prefocus_spiral,"S-bend inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_s_bend,s_bend_prefocus,0.5,0.0,0.0,1.0,0.0,0.5,0.0,5.223782875347121,2.919046550056605,6.1447506955856035,0.25107887420375646,2.997193299672734,5.133856634822445,low,True,True,True,False,False,127.82584482461483,295.04506092854297,0.0,0.5
145,short_circular_c_arc,"partial circular spiral arc r(theta)=a+b theta, theta<1.2 turns",short_c_arc,dual_side_electrode_entry,0.5,0.0,0.0,1.0,0.0,0.5,0.0,4.886738060588786,4.70186138233917,5.344496712843206,0.32318691566942215,0.8171276325082953,0.868940581253137,low,True,True,True,False,False,188.756973876379,1168.3160879168793,0.0,0.5
147,short_circular_c_arc,"partial circular spiral arc r(theta)=a+b theta, theta<1.2 turns",short_c_arc,dual_side_electrode_entry,0.5,0.0,0.0,1.0,0.0,0.5,0.0,4.606634868396101,4.503654236433001,5.2945585166867675,0.289539281970337,4.14306381708506,4.599669068252521,low,True,True,True,False,False,172.8646236412623,1116.6372566193086,0.0,0.5
155,fermat_spiral_short,r(theta)=a sqrt(1+k theta),fermat_spiral,tangential,0.5,0.0,0.0,1.0,0.0,0.5,0.0,14.870267702030281,8.379746922032425,7.632243384036053,0.5917058827989916,3.5288041872971,2.1055553467963346,low,True,True,True,False,False,182.1693378970441,1004.8588356752741,0.0,0.5
