case_id,seed,geometry,dep_enabled,dep_sign,frequency_hz,turns,pitch_um,channel_width_um,voltage_v,velocity_um_s,outlet_split_ratio,correct_A_live_inner_dead_outer,correct_B_live_outer_dead_inner,target_correct,preferred_direction,live_recovery_A,dead_removal_A,wall_loss,live_final_lateral_mean_um,dead_final_lateral_mean_um,distribution_gap_um,sample_id,optimization_score
spiral_dep_1_sign_1_f_792.54kHz_V_11.4687_u_4492_split_0.559649,101,spiral,True,1.0,792539.655629694,3.0696582804517494,186.40291222811683,106.11921768776253,11.46865419446831,4491.500033454526,0.5596494666107164,0.4166666666666667,0.48333333333333334,0.48333333333333334,B_live_outer_dead_inner,0.4,0.43333333333333335,0.1,-0.7861613520731179,3.907094457874799,4.6932558099479165,11,0.38210635657312503
spiral_dep_1_sign_1_f_534.244kHz_V_16.3429_u_4263_split_0.612041,101,spiral,True,1.0,534243.9127718268,4.087546797717737,213.8717541069282,158.02297036243348,16.342948031877967,4262.617798524928,0.6120411023929041,0.425,0.44166666666666665,0.44166666666666665,B_live_outer_dead_inner,0.5,0.35,0.13333333333333333,-5.236616976263602,15.39602190469063,20.632638880954232,37,0.36419722219048356
spiral_dep_1_sign_1_f_150.233kHz_V_12.0583_u_2375_split_0.381331,101,spiral,True,1.0,150232.77879645408,3.452708927267553,251.91821946455823,148.2504908667505,12.058268126522568,2375.3572898552034,0.38133122882276277,0.4583333333333333,0.4083333333333333,0.4583333333333333,A_live_inner_dead_outer,0.26666666666666666,0.65,0.13333333333333333,-0.9391770795183931,13.367364517450019,14.306541596968412,39,0.355559499721207
spiral_dep_1_sign_1_f_970.692kHz_V_9.02637_u_3333_split_0.429366,101,spiral,True,1.0,970691.7127066992,3.881865690845391,164.6312939617221,145.46935551965848,9.026368435141707,3333.405804220273,0.42936621713585016,0.4083333333333333,0.475,0.475,B_live_outer_dead_inner,0.31666666666666665,0.5,0.11666666666666667,4.359371557975527,6.6595710567142765,2.30019949873875,44,0.34420079799495495
spiral_dep_1_sign_1_f_285.24kHz_V_11.8333_u_2467_split_0.533836,101,spiral,True,1.0,285239.8037377889,3.9395062614503464,307.47460962264125,152.00836921202657,11.833314617912771,2467.0946002191836,0.533836374289554,0.44166666666666665,0.425,0.44166666666666665,A_live_inner_dead_outer,0.4666666666666667,0.4166666666666667,0.13333333333333333,-10.466385416989798,4.839568647895879,15.305954064885677,10,0.34289048292620933
spiral_dep_1_sign_1_f_330.521kHz_V_7.48312_u_1744_split_0.578696,101,spiral,True,1.0,330521.46836501017,4.716648218999719,129.64660459757798,123.3743052053022,7.483118586928906,1743.5040480374255,0.5786963706666175,0.44166666666666665,0.44166666666666665,0.44166666666666665,A_live_inner_dead_outer,0.4,0.48333333333333334,0.11666666666666667,2.6200057287896024,10.466309169168305,7.846303440378703,29,0.33305188042818146
spiral_dep_1_sign_1_f_116.621kHz_V_4.19595_u_3630_split_0.584667,101,spiral,True,1.0,116621.47235717815,5.742945557690762,194.61813942105968,97.28580305563176,4.195949244669122,3629.7143214820153,0.5846669150995312,0.4583333333333333,0.425,0.4583333333333333,A_live_inner_dead_outer,0.45,0.4666666666666667,0.11666666666666667,10.257440260554871,12.084860117040165,1.8274198564852941,19,0.32564301275927454
spiral_dep_1_sign_1_f_226.919kHz_V_10.9318_u_4238_split_0.620953,101,spiral,True,1.0,226918.5167063296,5.885167124032442,220.66994376886714,134.00968627803329,10.931760599594334,4237.5821190777615,0.6209531955439278,0.45,0.4,0.45,A_live_inner_dead_outer,0.5666666666666667,0.3333333333333333,0.15,-2.4644257438508115,10.405356689555816,12.869782433406627,27,0.3214791297336265
spiral_dep_1_sign_1_f_692.927kHz_V_14.8592_u_1179_split_0.494108,101,spiral,True,1.0,692926.9948715075,3.167285601248345,127.28188966566432,165.81963649299766,14.859245314572755,1178.5381125569397,0.4941078566193866,0.38333333333333336,0.44166666666666665,0.44166666666666665,B_live_outer_dead_inner,0.23333333333333334,0.5333333333333333,0.175,-9.970502147374681,6.770993759227256,16.741495906601937,38,0.2986326502930744
spiral_dep_1_sign_1_f_1114.19kHz_V_6.89287_u_3948_split_0.456921,101,spiral,True,1.0,1114188.0274947819,6.502887243747685,267.9823934693444,136.18478872706302,6.892865750212257,3948.021842755104,0.4569214272070622,0.4166666666666667,0.43333333333333335,0.43333333333333335,B_live_outer_dead_inner,0.31666666666666665,0.5166666666666667,0.15,10.591228529569374,20.658355354091615,10.06712682452224,28,0.2936018406314223
