stage,sample_id,seed,family,equation,frequency_hz,voltage_v,field_gain,effective_voltage_v,velocity_um_s,turns,a_um,b_um_per_rad,c_ratio,n_mode,phase_rad,width0_um,outlet_expansion_beta,outlet_expansion_center,outlet_expansion_ell,outlet_split_ratio,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,dep_edge_smoothness,dean_scale,target_correct,wall_loss,distribution_gap_um,live_recovery,dead_removal,live_outlet_purity,dead_outlet_purity,length_mm,mean_width_um,footprint_mm2,residence_s,flow_uL_min,pressure_drop_kPa,reynolds,effective_field_kV_m,active_joule_power_mW,adiabatic_delta_c_proxy,steady_substrate_delta_c_proxy,thermal_risk,short_channel_score,v9_score
ml_selected_formula,150,70014,tapered_c_spiral,"theta in [-pi, pi]; r(theta)=a+b theta+c sin(2 theta+phi)",1697876.2486861316,21.5189264325635,1.4361570518286717,30.904557943908472,1383.020003833551,1.7147168976786988,898.2758908355697,59.70267147371321,0.02742038674874027,2.365928220990104,1.9239676217160584,163.87888765546617,0.07472303676321819,0.8319596775549764,0.07299944968891595,0.3299273431337617,-0.4404449530499875,0.4375567732233717,0.411043808038124,0.9113997126807615,0.030864230665030124,0.695753384364227,0.7611111111111111,0.0,23.494126550255853,0.8666666666666667,0.6555555555555556,0.7155963302752294,0.8309859154929577,9.712813057753015,166.0390155316892,2.9602231524662055,7.02290135416,0.6889058396914675,0.07957499743995433,0.10597454977935773,186.12828945622252,2.7859840892578513,58.22353582839977,4.705699445220551,low,0.026883160373676246,1.0030595544741974
ml_selected_formula,151,70015,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1134584.7644351984,18.965989584344573,1.0621818443409539,20.14532979645044,2503.552258527204,4.577280410016236,841.1700114783786,31.088718078986048,0.054061135407420885,1.635292241675523,-0.4662283834412002,138.118762459738,0.09764605946008076,0.8430930008591901,0.06566607454704862,0.43681978399402743,-0.5205809266061865,0.3920678769720183,0.2613176956541383,0.7711981456923377,0.0312770087204358,0.7474062705101638,0.7222222222222222,0.0,21.906782385628677,0.4444444444444444,1.0,1.0,0.6428571428571429,37.212309067463785,140.33255886511972,9.945396638012898,14.863803597754792,1.053989684075017,0.5766125914775423,0.18403362361970987,143.5542112205983,5.486827775731188,74.94881635267866,2.758476094738973,low,0.0059717396687033325,0.7733131083595957
ml_selected_formula,152,70016,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1681662.39636112,20.431935103512693,1.1541634717262836,23.581793153156333,1455.2827777209138,4.268623654175245,721.3808285721275,53.75484683321338,0.04188229926242509,2.3520078518796756,-1.9837730994135963,141.56534752052391,0.048405026921138135,0.7315150057979873,0.05523270171737868,0.5014203193533195,-0.8012700199678565,0.22951148296771423,0.5312686009717205,0.9049538798763288,0.049873735604056085,0.7192726020347746,0.6055555555555555,0.0,43.041613552254965,0.2111111111111111,1.0,1.0,0.5590062111801242,38.61597403825606,143.4158407114421,14.048195634270003,26.535031286999555,0.6261318091191828,0.3456695964649182,0.10758398612296212,164.4294872600842,5.494917320819463,126.3499879594836,1.9557377558918791,low,0.002733468679334199,0.6258176048236561
ml_selected_formula,153,70017,tapered_c_spiral,"theta in [-pi, pi]; r(theta)=a+b theta+c sin(2 theta+phi)",1599124.5973663381,19.910301800607833,1.667335577729636,33.19715455548787,1312.508072042755,1.5435993506069419,984.482818028435,82.92400842041752,0.09353824308105982,1.8191422372181658,-1.4616261234435233,187.92353329629833,0.040187817708554806,0.7348613012244778,0.06130401749810812,0.3265450674662733,-0.3734833099992807,0.23552757166145077,0.1331932399498013,0.9404561772441449,0.032984516202646204,0.5679309877584761,0.7555555555555555,0.0,19.07394483838626,1.0,0.5111111111111111,0.6716417910447762,1.0,9.598685430572063,189.94060252039716,3.7304640088615035,7.31323916022315,0.7478957220500573,0.07249470811528759,0.10358841966878306,174.77650441760036,4.4646393917799445,85.9458968771413,5.984026894743454,moderate,0.026624016111790105,0.9451717005616664
ml_selected_formula,154,70018,tapered_c_spiral,"theta in [-pi, pi]; r(theta)=a+b theta+c sin(2 theta+phi)",1565881.698702666,20.0753895324758,1.3515167222328903,27.13222465848017,1236.4253125580415,1.7918167851999067,1230.239907795427,46.401952594359514,0.0321573706261573,2.3218125526297344,0.8598112763647094,203.49302731941984,0.04137423479164684,0.8595760187462393,0.04828900857680796,0.435326372140963,-0.7633856704902009,0.23924331130209125,0.34981710039852276,0.8326265699923976,0.037010192000777015,0.3386544381334838,0.5,0.005555555555555556,22.76414627165586,1.0,0.0,0.5027932960893855,0.0,13.89273779521932,204.71087380305826,4.841928693832461,11.236212696484369,0.7593291183779283,0.0974457098243757,0.099073264222993,132.53924500650942,2.4100815706648473,45.69634848765895,2.488761940809614,low,0.0,0.49444444444444446
ml_selected_formula,155,70019,tapered_c_spiral,"theta in [-pi, pi]; r(theta)=a+b theta+c sin(2 theta+phi)",1766898.210965076,21.575280982900694,1.6844182941026211,36.341797988002305,1539.6897348569448,1.0609363925708875,1061.7373074413597,58.93128242995505,0.036713262647953396,1.851359250633167,1.4304803834978292,143.58473843220148,0.18942128053901006,0.7295934727026226,0.07566209447382305,0.43360227207242164,-0.7885572395844532,0.18967947086395875,0.1441752393964855,0.9329316794862176,0.045767357343230626,0.5605840956796732,0.5833333333333334,0.0,38.97157417852955,0.16666666666666666,1.0,1.0,0.5454545454545454,7.091411599679561,151.0251531150585,3.2394707778997494,4.605740649650065,0.6975956338693617,0.06622121139833972,0.11532600708424391,240.6340747776982,4.820553686827077,99.48852234076689,7.440341366425897,moderate,0.011751303976925968,0.639095069125667
ml_selected_formula,156,70020,tapered_c_spiral,"theta in [-pi, pi]; r(theta)=a+b theta+c sin(2 theta+phi)",1812880.3353500033,23.77483784418677,1.4851628976347135,35.30950706346787,1893.2574822050608,0.8561276984783676,1031.1927068419793,57.109212602044444,0.05925902779034565,2.328251665441533,0.6029357444147037,144.22198552465224,0.1005709312590728,0.8680362170017681,0.056370491847667174,0.47976180950837244,-0.6924332209238538,0.3891526418366884,0.41006490267394824,0.7857001048196836,0.05161011189586805,0.3147080135764949,0.5,0.0,15.279902447549134,1.0,0.0,0.5,0.0,5.58032365926548,146.23435628000684,2.8956885978658806,2.9474721276506592,0.8305778675476907,0.06463477515072868,0.14066278532855403,241.45835466911672,1.7844584146105562,30.931849437439368,3.0812332788921086,low,0.0,0.5
ml_selected_formula,157,70021,logarithmic_dean_spiral,r(theta)=a exp(k theta) with small sinusoidal curvature modulation,1776539.8039400997,23.205570022021817,1.3168678718150932,30.558669609155995,1421.3368064834751,3.5154038516294466,646.9228816662426,21.19045364885699,0.05467371300666371,1.609757194827987,-1.6882779787137632,195.7159569759242,0.06222996639042986,0.7556625338556068,0.04650616090365196,0.43782199810650946,-0.3635720854274005,0.15900336939872867,0.48277464384986224,0.8126026239839759,0.02575224931283524,0.6220359935497104,0.5055555555555555,0.0,8.89891468953033,0.011111111111111112,1.0,1.0,0.5027932960893855,21.0141724090157,198.71019193252596,5.618871883808715,14.784794366232447,0.8473023288512846,0.17037580798401453,0.11321884523519521,153.7851144521691,3.257063700090031,55.34363272418365,2.898325293263541,low,0.0002643718461723498,0.5079349021711067
ml_selected_formula,158,70022,logarithmic_dean_spiral,r(theta)=a exp(k theta) with small sinusoidal curvature modulation,1767940.5551299762,22.25389613144781,1.0410956848534132,23.16843523362638,1477.756236294225,4.119407954861613,585.500320284831,20.100432878889364,0.04713496401724361,1.6130876094888538,-2.3480213415180646,178.82492685696374,0.0660625024675554,0.8895734551128925,0.08755683948675413,0.5661311764239878,-0.37854408126898637,0.3208592830065593,0.3817660814669174,0.87268318511261,0.024978198946334667,0.7699654314557624,0.5,0.0,11.843954412952542,1.0,0.0,0.5,0.0,24.436873668373508,180.40269321273132,5.867718866651881,16.536471353119747,0.7997736148181627,0.21000524696421086,0.1153595158191851,128.426215934072,3.5683650216984963,64.2365209636229,3.0406748370126024,low,0.0,0.5
ml_selected_formula,159,70023,logarithmic_dean_spiral,r(theta)=a exp(k theta) with small sinusoidal curvature modulation,1830116.7940725689,12.404816191430214,1.225645507972371,15.203907242249377,1201.2020332128195,2.9535984818928105,733.6725227915264,22.679933393390357,0.04626752161687892,2.001712359767285,1.407006791772579,197.47992134780992,0.055533845469103144,0.8390381472036109,0.07602503962058074,0.35450795287836295,-0.395134429561718,0.38385277651322147,0.3334024947147311,0.7682071864693095,0.030980408854611077,0.9600146397942015,0.5722222222222222,0.0,6.941967155580954,0.4,0.7444444444444445,0.6101694915254238,0.5537190082644629,18.41082720248152,199.35510871114695,5.303240996575781,15.32700302982224,0.7183972857455773,0.12607338214153718,0.09574592871326004,76.26545083566874,0.9281813325988885,18.601499599976858,0.8751076305962718,low,0.003922812453124738,0.6075275343003448
