sample_id,family,equation,mean_target_correct,std_target_correct,mean_wall_loss,mean_live_recovery,mean_dead_removal,mean_live_outlet_purity,mean_dead_outlet_purity,length_mm,mean_width_um,residence_s,active_joule_power_mW,steady_substrate_delta_c_proxy,thermal_risk,short_channel_score,v9_score
153,tapered_c_spiral,"theta in [-pi, pi]; r(theta)=a+b theta+c sin(2 theta+phi)",0.7555555555555555,0.0,0.0,1.0,0.5111111111111111,0.6716417910447762,1.0,9.598685430572063,189.94060252039716,7.31323916022315,4.4646393917799445,5.984026894743454,moderate,0.026624016111790105,0.9451717005616664
37,outlet_expanded_modulated_spiral,"r(theta)=a+b theta+c sin(n theta+phi), w(s)=w0[1+beta sigmoid(...)]",0.8545454545454545,0.0,0.0,1.0,0.7090909090909091,0.7746478873239436,1.0,44.471871131132474,134.99087864267403,24.13105839772322,4.719347403818696,1.2234957696293802,low,0.007972352984654506,0.9149303860499861
39,outlet_expanded_modulated_spiral,"r(theta)=a+b theta+c sin(n theta+phi), w(s)=w0[1+beta sigmoid(...)]",0.8727272727272727,0.0,0.0,1.0,0.7454545454545455,0.7971014492753623,1.0,34.25959863022196,139.6509047793829,20.548552280799072,11.314438438572976,3.562843591407816,moderate,0.010879499107688696,0.9090422301614655
136,outlet_expanded_modulated_spiral,"r(theta)=a+b theta+c sin(n theta+phi), w(s)=w0[1+beta sigmoid(...)]",0.8222222222222222,0.0,0.0,0.8666666666666667,0.7777777777777778,0.7959183673469388,0.8536585365853658,50.170418837953356,144.85534958180023,34.829841256200496,4.7454725197932275,1.1584801105739067,low,0.00642255396079063,0.8618207052637938
7,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),0.7363636363636363,0.0,0.0,0.8727272727272727,0.6,0.6857142857142857,0.825,26.507224670317896,167.52587977640053,18.348005194319924,4.041724634642785,2.2475669294386122,low,0.0089169514841103,0.816616199720629
101,tapered_c_spiral,"theta in [-pi, pi]; r(theta)=a+b theta+c sin(2 theta+phi)",0.6545454545454545,0.0,0.0,0.34545454545454546,0.9636363636363636,0.9047619047619048,0.5955056179775281,9.076045189361365,205.23067526650996,7.0245254888479405,2.39967881332583,4.1280101354787915,low,0.017027841016768793,0.8077960236963737
151,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),0.7222222222222222,0.0,0.0,0.4444444444444444,1.0,1.0,0.6428571428571429,37.212309067463785,140.33255886511972,14.863803597754792,5.486827775731188,2.758476094738973,low,0.0059717396687033325,0.7733131083595957
63,outlet_expanded_modulated_spiral,"r(theta)=a+b theta+c sin(n theta+phi), w(s)=w0[1+beta sigmoid(...)]",0.6909090909090909,0.0,0.0,0.8,0.5818181818181818,0.6567164179104478,0.7441860465116279,27.584269926230988,149.2053309202221,5.43919106006266,3.8457595226972336,2.4468134398619914,low,0.006920940500496908,0.753197555413563
97,tapered_c_spiral,"theta in [-pi, pi]; r(theta)=a+b theta+c sin(2 theta+phi)",0.6090909090909091,0.0,0.0,0.32727272727272727,0.8909090909090909,0.75,0.5697674418604651,7.136940948896251,147.0158276857989,5.3832928606440955,1.023881561696319,2.14963434741988,low,0.015285387657267972,0.7466593980063209
5,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),0.6727272727272727,0.0,0.0,0.34545454545454546,1.0,1.0,0.6043956043956044,27.60796829638722,141.74763504117124,23.04078971968946,6.114452492439271,3.648141236785307,low,0.006256428248284964,0.7290351269618374
43,outlet_expanded_modulated_spiral,"r(theta)=a+b theta+c sin(n theta+phi), w(s)=w0[1+beta sigmoid(...)]",0.6636363636363637,0.0,0.0,0.41818181818181815,0.9090909090909091,0.8214285714285714,0.6097560975609756,28.913396410682456,172.90622658458415,15.679195044788543,1.1879874798171737,0.6370583829125077,low,0.005659534470184415,0.7145721738680234
110,logarithmic_dean_spiral,r(theta)=a exp(k theta) with small sinusoidal curvature modulation,0.6272727272727273,0.0,0.0,0.5636363636363636,0.6909090909090909,0.6458333333333334,0.6129032258064516,14.478000646639332,182.6459307328969,12.646633292228012,1.6199815810795175,2.871528525965649,low,0.008790766790183157,0.7063896283843757
61,outlet_expanded_modulated_spiral,"r(theta)=a+b theta+c sin(n theta+phi), w(s)=w0[1+beta sigmoid(...)]",0.6545454545454545,0.0,0.0,0.3090909090909091,1.0,1.0,0.5913978494623656,34.06443995339164,189.82845822714353,24.250510278103793,5.187149111705006,1.7219263225971464,low,0.004536855875420525,0.6953771574242392
139,outlet_expanded_modulated_spiral,"r(theta)=a+b theta+c sin(n theta+phi), w(s)=w0[1+beta sigmoid(...)]",0.6666666666666666,0.0,0.0,1.0,0.3333333333333333,0.6,1.0,41.98160702799658,143.04121032503943,27.860319763036895,4.245982615937502,1.4101344843355663,low,0.003969992538768714,0.6940186710819892
42,outlet_expanded_modulated_spiral,"r(theta)=a+b theta+c sin(n theta+phi), w(s)=w0[1+beta sigmoid(...)]",0.6545454545454545,0.0,0.0,0.8363636363636363,0.4727272727272727,0.6133333333333333,0.7428571428571429,35.69730874105383,207.62327264999269,9.961861409442006,2.9481659429317326,0.9021857626345463,low,0.004329330697350833,0.6926726603323475
86,tapered_c_spiral,"theta in [-pi, pi]; r(theta)=a+b theta+c sin(2 theta+phi)",0.5909090909090909,0.0,0.0,0.18181818181818182,1.0,1.0,0.55,8.30653753301878,153.72167092922083,2.8254081548609915,1.9847757763805538,2.44816714510515,low,0.010944282205157576,0.6894076307555091
20,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),0.6454545454545455,0.0,0.0,0.3090909090909091,0.9818181818181818,0.9444444444444444,0.5869565217391305,33.391740990275544,154.76821988482797,11.650897051406888,4.200458935315969,2.0925689645672487,low,0.004356003644640909,0.6846585782563137
