frequency_hz,live_re_cm,dead_re_cm,dead_minus_live
3393.6209,0.27563216250509587,-4.242071652242542e-05,-0.2756745832216183
3432.9667,0.2809314687183375,-4.2420718234908374e-05,-0.2809738894365724
3472.7686,0.2862720846147861,-4.242071998726295e-05,-0.2863145053347734
3513.032,0.2916530594154368,-4.24207217805366e-05,-0.2916954801372173
3553.7622,0.29707340630929163,-4.242072361561149e-05,-0.29711582703290723
3594.9646,0.30253210291749316,-4.242072549351125e-05,-0.30257452364298665
3636.6447,0.3080280918210961,-4.242072741522307e-05,-0.3080705125485113
3678.8081,0.3135602811526251,-4.242072938176094e-05,-0.31360270188200684
3721.4603,0.3191275452513763,-4.242073139407906e-05,-0.3191699659827704
3764.607,0.3247287253822417,-4.242073345339796e-05,-0.3247711461156951
3808.254,0.3303626305176274,-4.2420735560763724e-05,-0.33040505125318814
3852.407,0.33602803818186694,-4.24207377173281e-05,-0.33607045891958426
3897.0719,0.3417236953573031,-4.242073992395048e-05,-0.34176611609722707
3942.2547,0.34744831945104687,-4.2420742182308914e-05,-0.3474907401932292
3987.9613,0.35320059932119685,-4.242074449316663e-05,-0.35324302006569
4034.1979,0.35897919636111586,-4.242074685799173e-05,-0.35902161710797387
4080.9705,0.36478274564017193,-4.2420749277987044e-05,-0.3648251663894499
4128.2854,0.37060985709914024,-4.242075175437785e-05,-0.3706522778508946
4176.1489,0.376459116798293,-4.242075428855982e-05,-0.3765015375525816
4224.5672,0.38232908821600065,-4.242075688180272e-05,-0.38237150897288247
4273.547,0.38821831359550296,-4.242075953548156e-05,-0.38826073435503844
4323.0946,0.3941253153373185,-4.242076225122125e-05,-0.3941677360995697
4373.2167,0.40004859743461696,-4.242076503009931e-05,-0.40009101819964704
4423.9199,0.4059866469487036,-4.242076787389758e-05,-0.40602906771657754
4475.211,0.4119379355216122,-4.2420770784043115e-05,-0.4119803562923962
4527.0967,0.4179009209226964,-4.242077376194076e-05,-0.4179433416964583
4579.584,0.42387404862593403,-4.2420776809479484e-05,-0.4239164694027435
4632.6799,0.4298557534145899,-4.242077992793072e-05,-0.42989817419451787
4686.3913,0.43584446100974444,-4.2420783119133956e-05,-0.43588688179286356
4740.7255,0.44183858971911727,-4.2420786384954635e-05,-0.4418810105055022
4795.6896,0.44783655210254786,-4.242078972666706e-05,-0.4478789728922745
4851.2909,0.45383675665040096,-4.24207931464097e-05,-0.4538791774435474
4907.537,0.4598376094711556,-4.242079664598763e-05,-0.4598800302678016
4964.4351,0.4658375159843638,-4.242080022720702e-05,-0.465879936784591
5021.9929,0.47183488261516304,-4.242080389178238e-05,-0.4718773034190548
5080.218,0.47782811848652124,-4.242080764190904e-05,-0.4778705392941631
5139.1182,0.48381563710539427,-4.2420811479490554e-05,-0.48385805791687375
5198.7013,0.48979585803900594,-4.2420815406577556e-05,-0.4898382788544125
5258.9752,0.49576720857748996,-4.242081942529698e-05,-0.49580962939691525
5319.948,0.5017281253791991,-4.242082353774739e-05,-0.5017705462027369
5381.6276,0.50767705609504,-4.242082774604451e-05,-0.5077194769227861
5444.0224,0.5136124609682825,-4.242083205253131e-05,-0.513654881800335
5507.1405,0.5195328144063823,-4.242083645947996e-05,-0.5195752352428418
5570.9905,0.5254366065214519,-4.242084096913256e-05,-0.525479027362421
5635.5807,0.5313223446361626,-4.242084558399388e-05,-0.5313647654817466
5700.9198,0.5371885547519466,-4.242085030648793e-05,-0.5372309756022531
5767.0164,0.543033782976552,-4.2420855139126865e-05,-0.5430762038316912
5833.8794,0.5488565969081247,-4.242086008450812e-05,-0.5488990177682093
5901.5176,0.55465558697316,-4.242086514520785e-05,-0.5546980078383051
5969.9399,0.5604293677158354,-4.2420870323853625e-05,-0.5604717885861592
6039.1556,0.5661765790364106,-4.2420875623392184e-05,-0.566218999912034
6109.1738,0.5718958873765625,-4.242088104642618e-05,-0.5719383082576089
6180.0037,0.5775859868496966,-4.2420886596071045e-05,-0.5776284077362928
6251.6549,0.5832456003144932,-4.24208922750369e-05,-0.5832880212067683
6324.1367,0.5888734803901104,-4.2420898086513906e-05,-0.5889159012881969
6397.459,0.5944684104116856,-4.242090403351051e-05,-0.5945108313157191
6471.6313,0.6000292053249678,-4.2420910119162655e-05,-0.600071626235087
6546.6636,0.6055547125190975,-4.242091634673479e-05,-0.6055971334354443
6622.5658,0.6110438125967806,-4.242092271961013e-05,-0.6110862335195002
6699.348,0.6164954200812583,-4.242092924112999e-05,-0.6165378410104995
6777.0205,0.6219084840597096,-4.242093591478871e-05,-0.6219509049956243
6855.5935,0.6272819887628825,-4.2420942744006975e-05,-0.6273244097056265
6935.0774,0.6326149540809571,-4.2420949732506456e-05,-0.6326573750306896
7015.4829,0.637906436015812,-4.242095688402478e-05,-0.637948856972696
7096.8206,0.6431555270700573,-4.242096420225095e-05,-0.6431979480342596
