class,particle_id,progress,theta_rad,lateral_m,x_m,y_m,outlet
live,0,0.07307692307692308,0.5537265846343107,-2.3851244136266852e-05,0.000891331772002582,0.0005506049701854252,outer
live,0,0.07692307692307693,0.582870089088748,-2.386996568804638e-05,0.0008753297401116894,0.0005766212628235043,outer
live,0,0.08076923076923077,0.6120135935431854,-2.3830241758334066e-05,0.0008585197708881097,0.000602139564897526,outer
live,0,0.08461538461538462,0.6411570979976228,-2.3870838594161363e-05,0.0008410308620901983,0.0006272146897093063,outer
live,0,0.08846153846153847,0.6703006024520601,-2.389411750119563e-05,0.0008227956309566448,0.0006517711669411266,outer
live,0,0.09230769230769231,0.6994441069064975,-2.3867033449376275e-05,0.0008038041554980402,0.00067576553882902,outer
live,0,0.09615384615384616,0.7285876113609349,-2.3863835835765023e-05,0.0007841308853454917,0.0006992220114194393,outer
live,0,0.1,0.7577311158153722,-2.38199149223205e-05,0.0007637429228452386,0.0007220780889836517,outer
live,0,0.10384615384615385,0.7868746202698096,-2.3768870330770225e-05,0.0007426835042262858,0.000744334598072794,outer
live,0,0.1076923076923077,0.816018124724247,-2.3741876744604887e-05,0.0007209921387541318,0.0007659940274771601,outer
live,0,0.11153846153846154,0.8451616291786843,-2.371073124406244e-05,0.0006986661667183444,0.0007870181171383517,outer
live,0,0.11538461538461539,0.8743051336331217,-2.3743309928390108e-05,0.0006757686750093755,0.0008074395489905072,outer
live,0,0.11923076923076924,0.903448638087559,-2.3735124609862673e-05,0.0006522483875088908,0.0008271630015347401,outer
live,0,0.12307692307692308,0.9325921425419964,-2.373705630849918e-05,0.0006281584685226793,0.0008462091748795863,outer
live,0,0.12692307692307692,0.9617356469964338,-2.371222843915962e-05,0.0006034965983658016,0.000864531883624559,outer
live,0,0.13076923076923078,0.9908791514508711,-2.3697319573443494e-05,0.0005783057338562943,0.0008821438881462645,outer
live,0,0.1346153846153846,1.0200226559053085,-2.3724328843637178e-05,0.0005526232964303606,0.0008990570593921423,outer
live,0,0.13846153846153847,1.049166160359746,-2.3695199070623093e-05,0.0005264173428981952,0.0009151740945991947,outer
live,0,0.1423076923076923,1.0783096648141834,-2.373157640595132e-05,0.0004997731500046708,0.000930584312986712,outer
live,0,0.14615384615384616,1.107453169268621,-2.371986131003386e-05,0.00047265555144202615,0.0009451759236093283,outer
live,0,0.15,1.1365966737230584,-2.3713249192710694e-05,0.00044511406304083935,0.0009589817186774922,outer
live,0,0.15384615384615385,1.1657401781774959,-2.366810068776152e-05,0.000417153483983716,0.0009719496146274689,outer
live,0,0.1576923076923077,1.1948836826319333,-2.36836367187489e-05,0.00038883821836545557,0.0009841581875805314,outer
live,0,0.16153846153846155,1.2240271870863708,-2.365106970365139e-05,0.0003601485039117871,0.000995496676544412,outer
live,0,0.16538461538461538,1.2531706915408083,-2.3620638429540453e-05,0.0003311288004654432,0.0010060006501180214,outer
live,0,0.16923076923076924,1.2823141959952458,-2.361076430038406e-05,0.000301808851618071,0.0010156780944435336,outer
live,0,0.17307692307692307,1.3114577004496832,-2.35747798500983e-05,0.00027219892116706496,0.001024475675005217,outer
live,0,0.17692307692307693,1.3406012049041207,-2.353598973799098e-05,0.0002423318195435294,0.0010324071343834264,outer
live,0,0.18076923076923077,1.3697447093585582,-2.353015167549039e-05,0.00021224066905848203,0.001039499855836321,outer
live,0,0.18461538461538463,1.3988882138129957,-2.3540981676819364e-05,0.00018194500551315366,0.0010457316845543694,outer
live,0,0.18846153846153846,1.4280317182674331,-2.3519677757834484e-05,0.00015146125793161856,0.0010510486052821941,outer
live,0,0.19230769230769232,1.4571752227218706,-2.3520759296383064e-05,0.00012082500862997486,0.0010554989014946291,outer
live,0,0.19615384615384615,1.486318727176308,-2.35239331243735e-05,9.005819854233859e-05,0.001059058065031224,outer
live,0,0.2,1.5154622316307456,-2.3507506145684525e-05,5.918514758774921e-05,0.0010617006309079772,outer
live,0,0.20384615384615384,1.544605736085183,-2.3458366479782703e-05,2.8233175124342076e-05,0.0010634103134040459,outer
live,0,0.2076923076923077,1.5737492405396205,-2.348141568502747e-05,-2.767237180049744e-06,0.0010642896509705092,outer
live,0,0.21153846153846154,1.602892744994058,-2.347278877381836e-05,-3.379440697702362e-05,0.0010642333564635715,outer
live,0,0.2153846153846154,1.6320362494484955,-2.3483732977047705e-05,-6.482151814400698e-05,0.0010632918675038071,outer
live,0,0.21923076923076923,1.661179753902933,-2.3470513628278514e-05,-9.582063934360247e-05,0.0010614214758842338,outer
live,0,0.2230769230769231,1.6903232583573704,-2.340867956851775e-05,-0.00012676074572565615,0.0010585987771117153,outer
live,0,0.22692307692307692,1.7194667628118079,-2.342640236881176e-05,-0.00015762821009629744,0.0010549528759116419,outer
live,0,0.23076923076923078,1.7486102672662454,-2.340777453240349e-05,-0.00018838493039120548,0.0010503708100558305,outer
live,0,0.23461538461538461,1.7777537717206828,-2.3420483483958824e-05,-0.00021901436324891572,0.001044922612057648,outer
live,0,0.23846153846153847,1.8068972761751203,-2.321689500032023e-05,-0.0002494389495138452,0.0010383699415495308,outer
live,0,0.2423076923076923,1.8360407806295578,-2.297486741912103e-05,-0.0002796581131904753,0.0010308941180541735,outer
live,0,0.24615384615384617,1.8651842850839953,-2.2807946269480908e-05,-0.00030967402412282024,0.0010226110456918996,outer
live,0,0.25,1.8943277895384327,-2.258900991322355e-05,-0.0003394288840045125,0.001013404374288009,outer
live,0,0.25384615384615383,1.9234712939928702,-2.237587101081245e-05,-0.00036891202931249264,0.001003337373028322,outer
live,0,0.25769230769230766,1.9526147984473077,-2.2174847285677977e-05,-0.0003981010029326755,0.0009924238970010575,outer
live,0,0.26153846153846155,1.9817583029017452,-2.1947272159480833e-05,-0.0004269569492896757,0.0009806367141402602,outer
live,0,0.2653846153846154,2.0109018073561824,-2.1746642692601254e-05,-0.0004554750516241947,0.0009680350513413544,outer
live,0,0.2692307692307692,2.0400453118106197,-2.1545025341446784e-05,-0.00048362081127949035,0.0009546031236054048,outer
live,0,0.27307692307692305,2.069188816265057,-2.132309164999776e-05,-0.0005113610610760511,0.0009403348235585837,outer
live,0,0.27692307692307694,2.098332320719494,-2.1107711690177463e-05,-0.000538683599731067,0.0009252661062465684,outer
live,0,0.28076923076923077,2.1274758251739314,-2.0931575899560377e-05,-0.0005655823267408856,0.0009094371249862057,outer
live,0,0.2846153846153846,2.1566193296283687,-2.0683584386655818e-05,-0.0005919771382078561,0.000892765616447886,outer
live,0,0.28846153846153844,2.185762834082806,-2.047731295638628e-05,-0.0006179041042569261,0.0008753625110016946,outer
live,0,0.2923076923076923,2.214906338537243,-2.028488508702476e-05,-0.0006433275904997107,0.0008572176355288079,outer
live,0,0.29615384615384616,2.2440498429916804,-2.0059885931029152e-05,-0.0006681983342213398,0.0008383085643015328,outer
live,0,0.3,2.2731933474461177,-1.9835802520503985e-05,-0.0006925138860063784,0.0008186786176340308,outer
live,0,0.3038461538461538,2.302336851900555,-1.966738964100428e-05,-0.0007162892999420715,0.0007983853973517796,outer
live,0,0.3076923076923077,2.331480356354992,-1.9506331869614484e-05,-0.0007394749935082072,0.0007774070762883875,outer
live,0,0.31153846153846154,2.3606238608094294,-1.9325485144675174e-05,-0.0007620324032492558,0.0007557412304056805,outer
live,0,0.3153846153846154,2.3897673652638667,-1.908974984841661e-05,-0.0007839154949908444,0.0007333827120409511,outer
live,0,0.3192307692307692,2.418910869718304,-1.8914645945266885e-05,-0.000805187419605231,0.0007104313874143688,outer
live,0,0.3230769230769231,2.448054374172741,-1.8721316580213344e-05,-0.0008257735056347115,0.0006868511706954614,outer
live,0,0.3269230769230769,2.4771978786271784,-1.8507347384159904e-05,-0.0008456529574222428,0.0006626614454193384,outer
live,0,0.33076923076923076,2.5063413830816157,-1.829455553742911e-05,-0.0008648247294773087,0.0006378970782517165,outer
live,0,0.3346153846153846,2.535484887536053,-1.807936593948859e-05,-0.0008832693255467966,0.0006125766625118452,outer
live,0,0.3384615384615385,2.56462839199049,-1.788752761198125e-05,-0.0009009919371040377,0.0005867359929710815,outer
live,0,0.3423076923076923,2.5937718964449274,-1.7752575415630185e-05,-0.0009180066102618989,0.0005604129802018672,outer
live,0,0.34615384615384615,2.6229154008993647,-1.7524937019022697e-05,-0.0009341723896938703,0.0005335493193412378,outer
live,0,0.35,2.652058905353802,-1.7344153670732533e-05,-0.0009495930437817171,0.0005062420631423793,outer
live,0,0.35384615384615387,2.681202409808239,-1.711995763031105e-05,-0.0009641768270844517,0.00047846923126613534,outer
live,0,0.3576923076923077,2.7103459142626765,-1.699289216838068e-05,-0.0009780359059749328,0.0004503183069497737,outer
live,0,0.36153846153846153,2.7394894187171137,-1.6831979034214344e-05,-0.000991042029643104,0.000421752191306681,outer
live,0,0.36538461538461536,2.768632923171551,-1.664322748578939e-05,-0.001003187968087039,0.0003927998903234581,outer
live,0,0.36923076923076925,2.797776427625988,-1.647808490150082e-05,-0.001014510141553651,0.0003635061455818712,outer
live,0,0.3730769230769231,2.8269199320804255,-1.6308085703179417e-05,-0.0010249722516912686,0.0003338844947087498,outer
live,0,0.3769230769230769,2.8560634365348627,-1.6147765649457155e-05,-0.0010345786431360036,0.0003039646382185232,outer
live,0,0.38076923076923075,2.8852069409893,-1.5953788941306776e-05,-0.0010432791499267113,0.0002737593788013137,outer
live,0,0.38461538461538464,2.9143504454437372,-1.5814391164631896e-05,-0.0010511507186600232,0.00024331828676980638,outer
live,0,0.38846153846153847,2.9434939498981745,-1.5597080735250723e-05,-0.0010580578318053167,0.00021263435943213145,outer
live,0,0.3923076923076923,2.9726374543526117,-1.5432209794427176e-05,-0.0010641207732886855,0.00018176412704265916,outer
live,0,0.39615384615384613,3.001780958807049,-1.5302812551806533e-05,-0.0010693180043102885,0.00015072659191235863,outer
live,0,0.4,3.0309244632614862,-1.5147611818794303e-05,-0.0010735842491140064,0.00011953724929213056,outer
live,0,0.40384615384615385,3.0600679677159235,-1.4984541278482182e-05,-0.001076932860452556,8.822649502787352e-05,outer
