frequency_hz,voltage_v,velocity_m_s,turns,inner_radius_m,pitch_m,channel_width_m,outlet_split_ratio,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,dean_scale,dep_sign,predicted_score
839830.410176282,12.743756895083365,0.0012094382870879398,6.7122071251803685,0.0009859923828364706,0.00020648515729157935,0.000236439708636651,0.3277862118507102,-0.4994768105831327,0.4862752522406765,0.6727964843925343,0.6862455518006998,0.1040731534528118,-0.09830793476529331,0.6775251496031616
3014262.179483915,22.40683762015792,0.00455100721942816,4.954192254455503,0.0010041755477843651,0.00020605395125610664,0.00015244299612401382,0.2670698789964251,-0.499847761654001,0.2170088028039901,0.12454010915707059,0.998617057922701,0.8627781800954532,-0.8567641475914682,0.6755705653302835
3607908.463944856,23.45012083066397,0.003489526698999966,8.333665576563103,0.0019091617134139294,0.00014809425691323196,0.00018329439123447334,0.2630593637000216,-0.5487983867244712,0.7196247722521217,0.44968258503700526,0.9056679137412632,0.9856343165284377,-0.9648300553335158,0.6749347071320335
2609639.5092908544,14.69665178706039,0.0044064475840416015,2.244816136563263,0.0007701812430519399,0.0001532729628316346,0.00014133849338633417,0.27683326343128056,-0.677149917794551,0.37636059461819815,0.6497276486652115,0.7241369122998422,0.009400827609226581,-0.22695658110372796,0.6736555910733373
1443301.1919149258,22.236011222690863,0.004506375047116672,4.9267475912908285,0.0015641474570611135,0.00015695459495149112,0.00015057901470453414,0.2798599082579578,-0.48469927547426733,0.500563294964995,0.4276080670031615,0.7830034594377274,0.3396115556517439,-0.6785663415380969,0.6732925721004597
4143349.367974571,12.798001557605943,0.001936517564498346,6.5488659456850975,0.0015001612947218453,0.0002977426607519668,0.00017293565086319522,0.32131945867852113,-0.5738231522447358,0.2718906458042655,0.14835218473677897,0.5125740205197993,0.6628761721873213,-0.13326648934716445,0.6722901522584681
4087906.3357399604,8.293485606570158,0.004255076481758712,2.9812999868849106,0.0011035392240997467,0.00030795721542427405,0.00014625588361986527,0.2974404286372865,-0.7266163163423645,0.2844033825948329,0.3350864104028174,0.6091844221686472,0.5408254607703604,-0.4420349827678234,0.6720494880588788
2562543.6711225156,17.914341104604382,0.000776537421485244,8.691026162630017,0.001953131806381242,0.00024320254246642744,0.0001847815495592006,0.25751714637226136,-0.7152312319687373,0.7014925959354974,0.29871640854509374,0.2855491775103398,0.029180896954633283,-0.3713852434076661,0.6719425599817135
1645204.4630592675,19.86455868483228,0.0006684318887942619,6.349486046728448,0.0018998078204098667,0.00035424992176706085,0.00019164681418590678,0.28045152049027444,-0.29980693537818054,0.8290126823634922,0.31330044608029095,0.8001156444585462,0.19751514042332158,-0.6462651886227069,0.6717169485987069
755532.3145461553,5.622089630815481,0.003531524782044456,5.8393472428081905,0.0017908364383379658,0.0003188915285878088,0.000144500847087277,0.35285563919247254,-0.6564142396338417,0.1920017010259083,0.606445706361845,0.4531519725025514,0.18804264472944013,-0.8834285542645808,0.671242517148056
