stage,sample_id,seed,family,equation,shape_class,inlet_kind,frequency_hz,voltage_v,effective_voltage_v,velocity_um_s,turns,radius_um,pitch_um_per_turn,width_um,eccentricity,curvature_power,inlet_length_um,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,electrode_gap_um,electrode_coverage,field_gain,dean_scale,target_correct,wall_loss,distribution_gap_um,live_recovery,dead_removal,live_outlet_purity,dead_outlet_purity,length_mm,footprint_mm2,residence_s,flow_uL_min,pressure_drop_kPa,reynolds,effective_field_kV_m,active_joule_power_mW,adiabatic_delta_c_proxy,steady_substrate_delta_c_proxy,thermal_risk,manufacturable_gap_ok,manufacturable_bend_ok,manufacturable_no_intersection_ok,self_intersects,channel_overlap_flag,min_nonlocal_clearance_um,mean_curvature_1_m,p95_curvature_1_m,min_curvature_radius_um,smoothness_index,path_samples_valid,short_channel_score,v11_score,v12_score
v12_operating_screen,16,121016,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,16.0,17.7645285940675,800.0,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.48002269110239293,0.16963066435447183,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.6863615959255893,1.0,0.0,28.56087971157468,1.0,1.0,1.0,1.0,7.079656095729848,3.6733717016350447,8.849570119662308,0.23060701644050596,0.0404449726435762,0.05246105973014912,368.9922305738071,5.983291856182568,373.5489163827899,8.144141598193508,moderate,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0706248994639131,2.0093734919586965,1.9486214668395068
v12_operating_screen,1,121001,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,10.0,11.102830371292187,800.0,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.48002269110239293,0.16963066435447183,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.6863615959255893,0.9461538461538461,0.0,15.831863262491158,0.8923076923076924,1.0,1.0,0.9027777777777778,7.079656095729848,3.6733717016350447,8.849570119662308,0.23060701644050596,0.0404449726435762,0.05246105973014912,230.62014410862943,2.3372233813213152,145.9175454620273,3.1813053117943384,low,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.06301914106010706,1.891440962055452,1.9424658372649155
v12_operating_screen,17,121017,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,16.0,17.7645285940675,1200.0,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.48002269110239293,0.16963066435447183,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.6863615959255893,0.9923076923076923,0.0,21.691145260271647,0.9846153846153847,1.0,1.0,0.9848484848484849,7.079656095729848,3.6733717016350447,5.899713413108207,0.3459105246607589,0.06066745896536428,0.07869158959522367,368.9922305738071,5.983291856182568,249.03261092186,8.144141598193508,moderate,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.06953836254908366,1.985383130543947,1.941312972231934
v12_operating_screen,112,121112,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1608358.8008955896,11.608762910411766,13.560111003259841,761.6517913838684,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.6185013210608351,0.16082128452578603,0.24010953813674413,0.8901400044012513,36.45195225499913,0.5708223053035363,1.1680926820460718,1.6863615959255893,1.0,0.0,24.91363238873843,1.0,1.0,1.0,1.0,7.079656095729848,3.6733717016350447,9.295134831714378,0.21955280897200066,0.03850623233306419,0.04994632515170524,371.99958203610805,6.114225053492385,400.9426280446353,8.322360967133953,moderate,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0706248994639131,2.0093734919586965,1.940601432340177
v12_operating_screen,54,121054,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1515741.3907618253,20.91716739565752,21.956351739862168,3898.405118544145,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.3917780378799221,0.11956757285484292,0.2601163867782852,0.9418122903273779,69.93349198872217,0.7380483667096733,1.0496809307181998,1.6863615959255893,0.9692307692307692,0.0,11.792873370816803,1.0,0.9384615384615385,0.9420289855072463,1.0,7.079656095729848,3.6733717016350447,1.8160390930262624,1.1237494665798278,0.19708861046636916,0.25564307972032924,313.9604660868781,4.549566753540921,58.288160976632874,6.192630535477632,moderate,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.06627875180459536,1.9134120462996995,1.933404914374059
v12_operating_screen,18,121018,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,16.0,17.7645285940675,1600.0,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.48002269110239293,0.16963066435447183,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.6863615959255893,0.9846153846153847,0.0,19.151345841689693,0.9692307692307692,1.0,1.0,0.9701492537313433,7.079656095729848,3.6733717016350447,4.424785059831154,0.4612140328810119,0.0808899452871524,0.10492211946029824,368.9922305738071,5.983291856182568,186.77445819139496,8.144141598193508,moderate,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.06845182563425424,1.9613927691291984,1.9255901875539252
v12_operating_screen,120,121120,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1980492.4795853144,21.71242720846395,22.921585007419917,2364.657325060601,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.4744078846652662,0.2843057307183997,0.1867691711423493,0.9325749848765275,60.96585761182937,0.5370680833080173,1.0556896650635454,1.6863615959255893,1.0,0.0,21.672438615923603,1.0,1.0,1.0,1.0,7.079656095729848,3.6733717016350447,2.9939458968112476,0.6816332132955162,0.11954812602938508,0.15506553646417356,375.9741256058765,7.148882057896999,150.99661055021411,9.730681562547806,moderate,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0706248994639131,2.0093734919586965,1.9253863687490438
v12_operating_screen,22,121022,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,18.0,19.985094668325935,1200.0,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.48002269110239293,0.16963066435447183,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.6863615959255893,1.0,0.0,26.035714784336445,1.0,1.0,1.0,1.0,7.079656095729848,3.6733717016350447,5.899713413108207,0.3459105246607589,0.06066745896536428,0.07869158959522367,415.11625939553295,7.57260375548106,315.181898197979,10.307429210213657,moderate,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0706248994639131,2.0093734919586965,1.913851415795727
v12_operating_screen,23,121023,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,18.0,19.985094668325935,1600.0,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.48002269110239293,0.16963066435447183,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.6863615959255893,1.0,0.0,21.02167652668614,1.0,1.0,1.0,1.0,7.079656095729848,3.6733717016350447,4.424785059831154,0.4612140328810119,0.0808899452871524,0.10492211946029824,415.11625939553295,7.57260375548106,236.38642364848423,10.307429210213657,moderate,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0706248994639131,2.0093734919586965,1.913851415795727
v12_operating_screen,21,121021,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,18.0,19.985094668325935,800.0,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.48002269110239293,0.16963066435447183,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.6863615959255893,1.0,0.0,32.78660207550628,1.0,1.0,1.0,1.0,7.079656095729848,3.6733717016350447,8.849570119662308,0.23060701644050596,0.0404449726435762,0.05246105973014912,415.11625939553295,7.57260375548106,472.77284729696845,10.307429210213657,moderate,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0706248994639131,2.0093734919586965,1.9053557145991038
